,username,rating,comment
0,8janek8,N/A,"51$(mB ULT 5.2020), 2021 05, Eternal Pledge, @grzeslaw90"
1,abraxasdf,10,Should not let you rate a game before it even releases
2,Aighert,N/A,Watch for Autumn Kickstarter?
3,ajewo,N/A,Eric Lang successor to Blood Rage and Rising Sun
4,akarasimos,N/A,Kickstarter pledge
5,AldebaranIV,N/A,Kickstarter 2020
6,Allen_,N/A,Kickstarter
7,AlphaEtOmega,N/A,"Pro:
- Miniature

Con:
- Not yet released, and probably will not be released in 2020

Want to play priority:
- 2 out of 5"
8,AlphaLoR,8,Cant wait! :)
9,andreasrem1980,10,Will put normal rate after preorder arrives. To adjust all the 1 point ratings.
10,annie90,4,cool
