,username,rating,comment
0,051276,N/A,Kickstarter Edition
1,1000rpm,7,"Very tentative rating after 1 play of one scenario.
One player was pissed off that the campaign aspect seems to heap on the misery."
2,3ldfilms,N/A,Haven't played
3,8janek8,N/A,pl
4,A Strange Aeon,N/A,"This was quite fun! I like the PVP and drafting of items and characters, as well as the way the quests seem to work. Game plays pretty quickly, too, turn to turn, which is always a plus with these things. Somewhat disappointed at all the KS stuff; just means even if I pick it up, I'll feel it's not quite complete. Oh well, I guess that's just the nature of the beast these days..."
5,ABrissey,7.5,"Great ""dungeon crawler"". Love the fact that no one has to play the monsters, everyone are the heroes.  Amazing miniature sculpts."
6,Absolutely,N/A,"$100

Medium"
7,AcceptableIce,4,"Ridiculously random and snowbally. Progression mechanic was nice, but it works better in Imperial Assault, where losing doesn't totally ruin you for future rounds.

Math traded for [boardgame=96848]Mage Knight[/boardgame]."
8,Acenchious,7.5,Daniel äger
9,Achrilon,9,I love this game.  More importantly so does my SO.  This is great with 2 to the full compliment.  Character progression and the simple rules are fantastic.  The exploding dice add excitement to every encounter as well.
10,actmoon,N/A,Already own Arcadia Quest Inferno.
11,adamscott,5,"Move, roll dice.  Not my type of game.  I'm sure it gets better as you move through the scenarios though."
12,adrientyler,8,"On a fait une campagne complète sur 3 jours.
Comptez entre 1 et 2h pour chaque scénario.

Monter des héros en puissance sympa avec l'achat de matériel en fin de scénario pour le scénario suivant et règles simples à assimilées.

Par contre petit bémol pour le dernier scénario qui est en fin de compte le moins intéressant et trop tourné PvP à notre gout."
13,aenrith,9,"My friends really enjoy playing this game. Competitive is always fun, but we retweaked rules to create a fun, yet challenging coop experience."
14,aersult,9,"Great dungeon crawler. Fun mechanics to interact with monsters and opponent characters. Some of the rules cam get murky, but the available online FAQ is pretty helpful (if long). House rules are easy to implement. Plenty of variety in multiple playthroughs, and the final level helps to keep those who are falling behind more interested.
Wish it had an expansion to add more players.
Also, being a campaign-style game, it can be difficult to organize game nights so campaigns can last months (depending on the people; not the games' fault)."
15,Afirm8,9,"Awesome miniatures, great game!"
16,agent easy,8,"Really fun game with the right crowd. Best played with 4 due to the simetrical board layouts, but slow players can really kill it. 

I like the mix of scenario objectives, pvp, upgrades, etc. I dislike when the game bogs down and becomes overlong because of particularly difficult objectives or too many armor upgrades. "
17,AgentDib,N/A,"Base game
3-4 players
2.5 weight
60 min"
18,Aibindrye,7.5,KS
19,aidwiz,N/A,lang. looks good.
20,Airamand,8.5,fam
21,airrun95,9,"My kids and I played this game all of the time. My son enjoyed the strategy aspect of the game, my daughter enjoyed messing people up, and I enjoyed pitting them against each other. Not wife-friendly. Often hard feelings due to my daughter's ruthlessness but we keep coming back to it. The main weak point of the game is the way one player can sneak in and steal a win. This can be mitigated, but not easily."
22,Airstone,6,"Fun game with cool miniatures but i have too many games with nice miniatures, so traded it away for some good value.


"
23,ajewo,N/A,"Grid movement dice combat game where players fight competitively against NPC monsters.

+ Artwork (comic)
+ Different characters with special abilities and customizable equipment
+ Different scenarios / campaign with modular board
+ Simple the mechanics: battling, the line of sight is easy to understand 
+ Leveling up system
+ Quick playing time
# Simple NPCs
# Plenty of expansion content available

""amerithrash experience with leveling up elements and monster fighting experiences you can pursue different objectives to win the game. rather luck driven. also, catch up mechanics aren't quite present. wisp's ability can be quite broken"""
24,ajirujito123,N/A,s
25,ajnos,9.8,Perfect fast-play dungeon crawl that enables fun table talk. Feels like a video game!
26,ajpl,4,"Fun, but I'd rather be playing Imperial Assault. The dice faces aren't assigned as well here, so you tend to get a lot less consistency in your rolls (aka it's really too much of a dice fest). "
27,akaflox,8,"Kim
"
28,Akfuty,10,Favorite game
29,AKHawkster,8,"Pure chaotic fun.  The PvP aspect makes for some fun moments each session. 
Pros: Great miniatures, fun character design, fantastic prologue/backstory
Cons: Dice game, Need the right mentality people to enjoy it"
30,Akindor,7,"Very fun to run through a dungeon with a *group* of heroes... racing other players' groups of heroes. Being able to carry over progress and items in the campaign is very nice, too, unlike in Zombicide (aside from the 2.0 update). Dice rolling to succeed at attacks, though, remains as fantastic and (more often) frustrating as always, keeping this more in the ""game of chance"" arena than I'd like. Beautiful minis and worth owning if you have a group you can play through a whole campaign with."
31,akositosi,8,Fun but a bit luck-dependent monster bashing game. the set up and teardown time is too long. Some characters are overpowered. Good production though.
32,ako_ay_bisaya,9,Chibi minis and fun gameplay. 
33,Akroatis,10,"OMFG! This is a REAL game, its amazing! "
34,Al Capwnd You,7,"Cute art, fun gameplay, and neat upgrade system. A bit too much ""take that"" for my tastes, but the punishment isn't too severe. Also due to the mini-campaign nature, it makes for a longer game than I'd like."
