,username,rating,comment
0,4757joshua2,1,"They jacked up the shipping right after the window to get a refund ended. Very lame, doesn't matter what the quality of the game turns out to be."
1,Abslom_Daak,10,"Base Pledge includes:
- Mergo's Loft
- Blood Moon
- Chalice Dungeon

Add-ons:
- Byrgenwerth
- Hunters Dream
- Upper Cathedral Ward
- Yahar'gul, Unseen Village

Game has been rated a 10 to help offset those who are buthurt over the shipping costs. Will readjust after receiving and playing."
2,adelfaidah,10,countering the souks rating it at 1 here
3,ajewo,N/A,"Cooperative miniature dungeon crawler by Eric Lang (Blood Rage, 7 Sins).

[b]Pros:[/b]

+ Artwork
+ Variability: monsters, weapons, upgrade cards, scenario cards, map tiles, story cards)
+ Modular, random map (exploration)
+ Special scenario rules (scenario cards)
+ Campaign and non-campaign mode
+ Hand cards are used to do actions (e.g., move, pick up, or draw event cards). However, these cards are also used for combat so the more actions you spend the less options you have left in combat
+ Combat by choosing and placing cards in an activation order
+ Upgrade cards for deck building. The cards determine the play style, e.g., tank or healer, slow or fast initiative. These cards are kept during campaign play.
+ Monster react by drawing from an AI card deck. Each monster has a different behavior. Monster also respawn and move at the end of the round
+ Weapons have 2 sides (flip cardboard) that allow different play stiles
+ Random encounters / story cards
+ Hunt track creates time pressure

[b]Neutrals:[/b]

# Theme (dark, bloody, monster hunt)
# Luck of the draw (AI deck, drawn hand cards, encounters)
# Language dependent
# Solo mode

[b]Similar games:[/b]

* Bloodborne: The Card Game (semi-cooperative, less complex, no exploration, no campaign, shorter playing time)"
4,akirsch,N/A,Kickstarter
5,Alarka,N/A,"Players: 1-4 () Time: 45-75 Min
Categories:
Adventure
Fantasy
Horror
Miniatures
Video Game Theme

Mechanisms:
Campaign / Battle Card Driven
Cooperative Play
Deck / Pool Building
Hand Management
Modular Board
Storytelling
Time Track
Variable Player Powers"
6,alexandregoh,N/A,Kickstarter - Blood Moon Early Bird Pledge
7,Alphawolf,10,"Ok, let's see: I send a package f. ex. to the Netherlands. The buyer pays 18 € for shipping for a base - box with standard weight.

Now I receive the all-in KS and pay 50 € for shipping. I expect at least a very heavy XXXL - oversized box or at least 3 big boxes. So where is the problem with all the 1-ratings because of shipping costs?

I hope that this game is at least as good the PS4-game. 

After receiving the game and playing it, I will change or confirm this rating based on the game (and not on the shipping costs)."
8,Ammanas,N/A,KS all-in pledge
9,anoptichtys,N/A,vcrproszek
10,antimog,N/A,May 2020
11,archmagemc,N/A,Backed on Kickstarter. Expected delivery May 2020
12,Areskram,10,Rating the game properly once its RELEASED. Until there those rates are just joke
13,AslanFrodo,N/A,KS. I wish now I hadn't dropped a bundle on this game.
14,asuiea,1,DON'T GET THIS!! Know how CMON handles shipping debacles by blaming the people who back them for the increase shipping cost.  They did not account for the increase cost in making shipping this game to the people who back them and the shipping prices rose by x2-x5.
15,AtomicFenix,N/A,Sin fundas
16,azuravian,N/A,Pledge Manager Locked.  Estimated Delivery May 2020
17,AzureJaye,N/A,Est May 2020
18,Bangold,N/A,Kickstarted
19,barbol,10,Agosto 2020
20,BarnabusWolf,N/A,Physical
21,Bb_esoteric,N/A,All in KS
22,bebem,N/A,KS: expected 5/2020
23,Benj_,N/A,KS 2019
