,username,rating,comment
0,-Johnny-,6,"Blue Moon City is one of those games (of which there are many) that makes a good first-impression with it's great production, easy-to-learn rules, quick game play, and oh-so-close (""I was one turn away!"") finish. The problem is that these games aren't rewarding. I don't feel any satisfaction for outplaying my opponents, I don't get emotionally involved, I'm not given any interesting problem to solve, there's no excitement or drama, etc...  

As a wise man once said ""You don't make friends with salad"". "
1,100pcBlade,4,Typically dry Knizia stuff with a pasted on theme. I was distinctly not sober when I played so I should give it another go but I suspect there are much better things to do with my gaming life
2,10thumbs,N/A,too old for A yet?
3,13walker,N/A,Thanks to my Secret Santa '06
4,3dicebombers,6,"There were a lot of creative ideas in this one, but the execution was meh.   A lot of cards with a lot of special abilities, half of which were just to create wild cards.  The card art was neat, but didn't really have any logical relationship to the game.  Dragons were a weird touch as well. "
5,4Corners,6.5,"Despite the very unusual theme (which almost prevented me from buying this), this is a typical quality Euro game.  Modular board, set collection, with a nice semi-cooperative element (similar to Tower of Babel, another Knizia), and a racing element, all combine to make a light strategy game that scales well from 2-4 players.

The goal of the game is to be the first player to provide a set number of crystals to the tower (the number of crystals depends on the number of players), hence the racing aspect.  On your turn you may move 1-3 spaces (the spaces consist of modular tiles that represent buildings that need to be reconstructed), make a contribution to a building (this is done by playing matching sets of cards), optionally play cards for their special abilities to augment your turn ( cards have two possible functions, there colour/strength and their special ability), and then finally you re-card netting 2 more cards.  There is a semi-cooperative element as it is very difficult to construct a building alone and you gain one time benefits for any building you have contributed to; the most optimal play is to help on buildings but to have helped the most as that player gains slightly more benefits.

Crystals, which are the winning currency of the game, are acquired through reconstruction of buildings, from previously adjacent reconstructed buildings, and indirectly from having dragons observe your reconstruction and them regarding you with dragon scales which get converted into crystals (yes the theme is VERY weird).  This games plays quickly, is easy to learn, is light but has some real decisions to made and plays great 2-4 players.

Have a home made version of the spielbox [boardgame=26189]expansion tiles[/boardgame], which are must have by the way."
6,7inchsplit,3,"Update: Rating 6 -> 3

While the first few plays were fun, it became very clear how the game rams a tight endgame down your throat as long as you are playing with the basics in mind. After the last few games, the victor was only ahead by one turn. It seems like that should be exciting, but it felt arbitrary.

The way the tiles interrelate seems trivial, and the modular board doesn't really alter strategies, much like in Settlers of Catan (which also got old fast).

===========================

Certainly fun, but I think that'll wear out after about 10 plays or so. Despite the overdeveloped theme, it still feels incredibly dry. Card combos are fun to put together, but I imagine the appeal there is limited."
7,a100000001,N/A,played
8,aaronseeber,7,"Great with three and four players, uninteresting at 2p."
9,aaxiom,7,"This certainly has the feel of another ""Reiner Math Puzzle"". While this sounds like an insult, it isn't. I like Reiner's games (most of them, at any rate). I can appreciate what he's done here, but the only thing I don't understand is why he didn't have any TWO POINT CRYSTAL tokens included -- just one and three crystals. This is quite odd to me.

Still, this isn't a bad game... I enjoy it."
