,username,rating,comment
0,abalufaske,N/A,"
September"
1,Abslom_Daak,N/A,"Kickstarter Edition including
- Scarlett Hayes
- Unspeakable Box
- Yog-Sothoth
- Black Goat of the Woods"
2,actmoon,9,Updated after 2 plays. No rules bog down. Fast action packed. It’s the pacing which zombicide should have in the first place.
3,adamdynris,7,Kickstarter novembre 2019
4,agabban,9,"Very good and easy to learn co-op, with a good challenge!"
5,agent easy,10,"This is such a great game. The scenarios I have played have been interesting, the character variety is great (particularly with the expansions) and every game leads to exciting moments and fun stories. Highly, highly recommended.

(I have second in shrink copy for trade)"
6,agnespoodle,9,"It looks amazing, and is actually FUN to play.  My new favorite Lovecraft game."
7,AGoodPeople,8,"Some stupid peoples are giving the rating of 1 or 10 to counter the other scores without even playing it.

It just kills this website.

I played it and I give it an 8. It was beyond my expectations."
8,aidwiz,N/A,#1 rob tabletop
9,Ainpowa,8,fast and fun
10,ajewo,N/A,"Scenario-driven dungeon crawler by Rob Daviau and Eric Lang (Blood Rage, Rising Sun). 

[b]Pros:[/b]
+ Artwork
+ Components: detailed plastic miniatures, Scenario boxes keep everything sorted.
+ Each scenario has a different touch and comes with special rules.
+ Special rules are bounded to a scenario which keeps the game variable and different but still less complex than other dungeon crawlers which try to simulate countless potential actions. 
+ Discovery deck provides special encounters unique to a scenario. They also provide some options for players to choose from.
+ 10 characters with special abilities that play very differently (plus team building).
+ Different items and companions granting further special effects.
+ Good balanced game that usually leads to tight game endings. Tense boss fights. Nice escalation over the course of the game.
+ Character development: you try to balance your insanity over the course of the game in order to upgrade your character.
+ Mythos deck acts as random (bad) encounters / enemy AI and also a timer for the game end.
+ Easy rules, smooth gameplay.

[b]Neutrals:[/b]
# Theme: another Cthulhu game.
# Simple combat: roll dice, you may spend stress tokens to re-roll, and see what happens.
# Luck of the draw and luck of the roll.
# Tiles often become overcrowded with miniatures and tokens.
# Scales well with 2-4 players.

[b]Cons:[/b]
- Bad luck may lead to sudden death.

[b]Related games:[/b]
* Mansion of Madness (coop, exploration, app, random encounters, no player elimination)
* The Others (one vs many, similar gameplay, tight game end)
* Hellboy (similar episode structure)
* Village Attack (coop, Yathzee-style tower defense)"
11,Alae,N/A,https://www.kickstarter.com/projects/cmon/cthulhu-death-may-die
12,alexandregoh,N/A,Kickstarter - R'lyeh Rising Pledge
13,alueb82681,10,"Easily one of my favorite board games ever. I know this got flack from the KS, but give it a try and play it.  Played through everything from the KS except the big guy (don't own it) and it is truly an enjoyable experience. Winning by the skin of your teeth happens a lot, losing but only needing 1 or 2 more hits happens also.  I highly recommend this game. It's pretty easy to set up with each episode having its own box, and each boss has their own box too."
14,Ancient Subutai,N/A,"Best 3-4
90-120 Min"
15,AndersBerg,N/A,Kickstarter
16,andre2001,9,"Ich mochte LoveCraft Spiele bisher nicht sonderlich, aber dieses Spiel hier ist der Hammer. Der Schwierigkeitsgrad ist genau richtig. Es ist fordernd aber machbar, man hat nicht das Gefühlt dem Spiel ausgeliefert zu sein. Der Glücksanteil ist managebar. Insbesondere wenn man die Mechnaik des großen Alten schon kennt."
17,Andreas_42,9,"25/11/2019 
Kais Spieleladen WoB"
18,andresmarin,N/A,"Depende 100% de la tirada de dados (mucha suerte), necesita al menos 4 jugadores para que sea balanceado. No es un juego de estrategia."
19,andy5463,N/A,Sleeved
20,AnotherHorrorFan,8,"2020-01: An almost complete improvement on The Others. Despite all of the improvements (i.e. coop over 1 vs all) I think I may still prefer The Others because you can take corruption voluntarily. The Cthulhu theme is great here though and I love how they lean into the absurdity of humans obliterating mythos creatures.

2020-04: Slight adjustment now that cult of the new effect has worn off. My criticism remains but it is still a great game."
21,Ansem_T,N/A,"Expansion:
- Yog-Sogoth"
22,Aploribus,8,"The Others 2.0. It has all the good stuff about the others, and none of the bad stuff. Quick to setup, great difficulty, and so easy to teach it's quite amazing that the game still has meaningful choices. Granted, I expected very little after being burned so much of CMON designs, so that may be coloring my perception."
23,araxe,10,"Offset 1 rating.
Is just a game...
If you don't like it, don't look at it, it's not a game for you and keep your bad comments for you."
24,arcadebox,8,"Fantastic action game with just enough to keep it interesting. Forget stupid LOS rules, stupid movement rules, elaborate dice mitigation mechanisms...Fight only in your sector, when you move everything follows you, spend one resource and reroll a bad dice. The main mechanism I would say is dice rolling and push your luck but done right.

Oh and the Episode vs GOO idea is so cool, scenario game done right. Will get higher with season 2. Only worried there may never be a season 3."
25,Ares2502,8.5,"Initial review after one play. I really enjoyed the 120 minutes ride against Cthulhu. I do not rate the running and communication of the Kickstart campaign bei Cmon. Lets see, if it holds up after a couple of more plays.

This is a fast paced pulp dungeon crawler, with simple rules and a pretty good escalation mechanic."
26,Arkanish,10,Better than zombicide and what it should have been.
27,arnora21,N/A,Edición kickstarter. All in
28,Artbee,9,offsetting 1
29,ArtForger,9,"S1E5 + Dagon = Fail
S2E2 + Black Goat = Fail"
30,ASF176,10,"Es realmente adictivo, la sencillez de las reglas más la adrenalina que produce el ganar la partida casi muriendo es verdaderamente genial. Lo recomiendo 100% tanto para principiantes como para jugones."
