,username,rating,comment
0,100pcBlade,6,Not played yet
1,2018,7,"A lot of fun in a very, very small box. "
2,4Corners,7,"What do you get when you take a well-respected card game with a great auction mechanic, and then strip out that auction mechanic?  Modern Art: the card game.  While the title seems absurd and/or like a quick easy way to make a buck off an existing successful franchise, this game actually really hit the spot for me.

I really like Modern Art.  I suck at it, but I really like it.  Unfortunately, my wife does not and neither do one of my main gaming groups.  Also, Modern Art cannot be played two-player.  Now along comes Modern Art: the card game (I still find this title hilarious), and it only costs $12, it's amazingly portable, and it does play 2-player.  It has the Modern Art ""theme"" (including the same artwork), and it actually plays very similary in terms of feel and strategy despite completely lacking any auctions.  

It's all about timing and set collection, and of course it helps to have the cards with abilities (like draw an extra card, play 2 cards of the same time in a row, add an extra 2 points to the artist, etc.).  I have only played this 2-player so far, but I have to say it's quickly becoming a travel game of choice for me and my wife.  Surprisingly good, simple game."
3,aandjso,8,The duckies are lovelly.
4,abnormallyramsey,4,Bought it to complete the collection.
5,ackmondual,N/A,{TWO&}
6,adamredwoods,5,"1 play / 2 players

LIKE: different style of game. light. interesting mechanism.
DISLIKE: graphic design is dated. scoring is fiddly and needs pencil paper.

OVERALL: needs more play and with more players. may be better with more than 2 players. also, someone did analysis of playing styles, the ""tortoise"" (slow and steady) vs ""hare"" (save all cards until the end) play styles, seems balanced. could use money chips to make it more involved."
7,addamaniac,7,10
8,aelfric_brewer,6,"Given the choice, I would pretty much always prefer to play Modern Art. But I won't refuse to play this."
9,AfarOca,8,"JUGADORES: 4-5
TIEMPO: 30

PARTIDAS GANADAS/PERDIDAS
Manolo 1/0
Navir 1/1
Oca 0/2
Conchi 0/1
Mariangeles 0/1
XAXO12 0/1"
10,afcgamer3,7,"From the Reviews: A card game that plays 2-5 in 30 minutes is good, the theme is ""mellow"" such that a new person would be interested in playing. People enjoy this game. It was stressed that this is NOT Modern Art, but it is own little game in its own right. This would be a good game to pick up in the Gryphon line."
11,agius1520,N/A,"Not as good as the original modern art, removes the heart and soul of the auction."
12,aguni524,7,4 - 5
13,Ajax,6,"Seems uber-short with 5 players.  Exactly what you've heard already: every bit of [b]Modern Art[/b], except the auctions.  Hard to say I'd play it in place of the original, but it gives you some of the flavor at half the time."
14,ajewo,N/A,Alternate version without auction based on Modern Art by Reiner Knizia.
15,Albarc,6,Simpler than regular Modern Art. Less mathy but you have to digest less intuitive rules and mechanisms.
16,alepsycho,7,"A game heavily based on Modern Art. It is simplified and faster, have some strategies for sure and have the same feeling of playing Mordern Art. But the bid system in Modern Art put you into another level of control in this game, mitigating the luck very much, thing that cannot be done very well with Masters Gallery. Anyway, a good filler."
17,alexanderbanning,7,"FAMILY

Card game received as a gift from Nick & Kate.

Recommended with 2-5 players (best 4-5). 20-30 mins."
18,alexd,4,"Interesting.  Still no idea what the best approach to this is, really -- or how much luck it has.  Fun, a bit tense."
19,alexisW,7,"A good party game for groups of similar skill and experience. 

The tone down master gallery is much quicker and much more exciting for casual gamers. Seasoned gamers would prefer the original bidding aspect, as it adds to the tension that not all cards that you play belong to your own gallery. 

Both are good games. Worthy of a classic treatment. 

Only game by RK that is worth my gaming time. "
20,alita_4b,N/A,"The Old Masters version looks nicer (the new Gryphon series one), but the colors look muted and dull. If the design was more appealing, I might consider it. 

BGG review: http://www.boardgamegeek.com/thread/404682

Video review: http://www.boardgamegeek.com/thread/439956"
21,alphabits,N/A,"Best with 4, 5 players
Recommended with 2, 3, 4, 5 players 
(23 voters)

W: 1.7"
22,alzhere,N/A,"as new, unplayed"
23,amatyarakshasa,8,"Surprisingly good game. Modern art without the auction, who'd have thought it would be awesome."
24,amitche1,5,"DON'T MISTAKE THIS FOR THE VERSION OF MODERN ART THAT YOU REALLY WANT.  I bought a copy of ""Modern Art"" hoping to get the auction game.  What I got was a fun game that doesn't involve auctions at all.  It's a pretty fun hand management game with some of the same scoring escalation mechanics as Modern Art, but without any bidding whatsoever.  "
25,amurobo,8,"*2-5 Players

This is actually a pretty good game!  Initially I did not have much expectation, but after learning the rules.  It's such a good game to play at lunch time.  Enough depth, enough trash talk, fun to think and yet, it doesn't take too much attention (which is good for a lunch game).

Thumbs up for this one!"
26,Andy Parsons,4,"I rate Modern Art a perfect 10 and MA:tCG really suffers by comparison.  Essentially, it extracts the hand management from its parent and tries to make a game of it.  It just about works, although the everybody plays a card power seems a pretty bad idea.  I can't imagine why I'd play this instead of the original or a vast number of better fillers."
27,andy61,7,Nice filler with simple rules but some subtleties in the play
28,Angilfyre,N/A,Too simple for my taste
29,Angrist,4,"I quite like this game, though it gets excessively frantic towards the end. I have the Master's Gallery version."
30,AnnC,N/A,"10+, 2-5 players, best with 4/5, 30 mins. Probably give this to S for school as it's the board game artists 20 years later."
31,apecage,5.5,"Modern Art: The Card Game (without the auctions?) A 1/2 hour filler. If you expect anything more, you'll be disappointed.
But thanks for bringing/teaching Eric!"
32,aPilgrim,N/A,[4-5]2-5
33,arcastbooster,8,Duckomenta Art
34,Archvile,6,Filler. Not bad but not that good either.
35,armourer84,4,"Nice attempt from Knizia.
But, this game ruin the original Modern Art.
Removing the auction part makes this nearly pure luck game."
36,Art Campbell,8,"Fast, simple, tactical."
37,asfhgwt,7,Solid abstract game.
38,ashbane,N/A,15$
39,aslaksen,9,Brilliant game!
40,Asociacion Noctis,N/A,Dueño: Paco
41,astroglide,6,"Modern Art without the auctions, and I think it worked surprisingly well.  Fits right in the upper end of fillers for my tastes.  As with Modern Art, playing two cards is generally awesome and the more of those you draw the better you'll probably do.  Seemed like there was a better amount of control with 3P."
42,asutbone,6,"I was hesitant about this one because I dislike auction games and have avoided Modern Art for that reason.  But, there's no auction here, and it's pretty interesting.  There's a good amount of guesswork, and the scoring is typical Knizia, but the game is quick and tense.

I won my copy from the Spiel."
43,atonaltensor,N/A,"Kickstarter (Through the Ages). Like new, opened but never played. Traded away in 2015 summer math trade."
44,Atrus1,N/A,Modern Art: The Card Game
45,Avron,7,"Purchased as I thought I was getting Modern Art (closing down sale of an online store). Finally got it played a week after first playing the original.
Simpler to play but fairly similar, I'm not sure which would be the better choice."
46,awpeanut,8,"So many games, so little time"
