,username,rating,comment
0,2dTones,7.5,"As light as it is addictive, a breezy delight! Looks like a hot mess though :D"
1,383cherokee,8,Ethnos  is a game I've wanted to get to the table for a long time. I finally got it to the table and I was excited of how well it turned out. The game is very simplistic. But the added mechanism of when you lay down a band of cards you have to put the rest of your hand out for somebody else to grab. The Third Dragon sneaks up on you very quickly.
2,AAAlone,7,Sadly my gaming group didn't care for this game which I found intriguing in its simple yet rich design.  Was not put off at all by components (as some were).
3,aaj94,4,"I really enjoyed Ethnos when I first played it, but as I've let it sit for a while I've really cooled on it. It's essentially Ticket to Ride with a pasted-on theme, and that's just not compelling enough to make a game great. Some people may find a lot of value in the accessibility, but the simplicity of the game makes it boring, not accessible. There's absolutely nothing to sink your teeth into here.

While the area control is rather interesting, I have plenty of other area control games that are not that much more complex, but far more satisfying than Ethnos, which is disappointingly linear and offers no way to move placed troops."
4,abbeb,N/A,"Using ""Want to Buy"" to keep track of games I'm interested in for 2 Players"
5,AC0990,9,#8
6,Acama,7,"Good set collection game, if someone likes Rummy they will like this.  The creature powers add a lot of fun, and different combinations keep it interesting game after game."
7,acanthus,8,Played today -- brilliant little game
8,Accatitippi,5.5,"I was hoping for a Ticket to Ride-ish area control game, but this is very very random, even considering that it's a set collection card game. This is partly due to the way the deck works, which forces blind draws; and partly due to the high value of bands, which promotes hoarding strategies. These are extremely effective if you're lucky, and terrible if you are not."
9,Achimobilkgames,N/A,2 to 6 Players
10,Acholt22,N/A,Ally's game. 
11,adamamadork,N/A,Played
12,adamredwoods,6,"3 plays / 3,6 players

LIKE: Such a quick, smooth playing area control, and the subtle interactions are interesting. I like waiting for someone to play cards and reveal what they had been holding, so that I may be able to snag what I need. It's an interesting mechanism, but I'm not sure it's emphasied enough here. The variety of card powers really adds to replayability. 

DISLIKE: The card draws are a big luck element. The art is muddy and not easy to distinguish between cards. I enjoy seeing what other players surrender when they lay down a band, but it doesn't seem to happen often enough.

OVERALL: Good game for 3-5 player counts. The theme doesn't bother me at all. Has an ok game build across the eras, I wish there was more differentiation between the eras other than points. Not sure about longevity, as the card revealing isn't as tense as it should be."
13,adamscott,5,"An okay game that I would play again.  Ticket to Ride + Area Control + Hand Management.

Second play had a weird combo of races.  Down from 6 to 5.  Minimal desire to play again."
14,adamw,8,"Very good! It has elements of Small World I think - in the combination of races that 'break' rules. This surely also makes every game quite different each time you play. Turns just fly by so I suspect this supports a full table quite well. The single card draw is maybe the weakest part of play? But it does guarantee a fast pace. I like the push your luck feeling of seeing dragons come out and hoping you can get your cards to the table. The production is a bit challenging for color blind folks like myself - pastel playing pieces and no symbols for colors on cards (orange and green are especially troublesome). A bit more work here would have really lifted the game to the top for me. But still, very fun and fills an important niche in gaming given the player count and brisk play."
15,adelprete,N/A,6 players
16,adjacentbeastman,N/A,yep
17,Aephoto,N/A,6/17
18,aesthetocyst,8,"Rating after initial 3 plays. This is like a better implementation of 504, that actually works, by offering flexibility, limited to a few areas. Mixing up races results in various game metas, some tight and muted, some dynamic and volatile. There is a lot of luck, which can result in very frustrating rounds. Thankfully, even with 6 players, the game moves VERY quickly, and can be completed in 60min. Alt rules for low player counts are offered. Rated an 8 based on the flexibility, potential for pimping and re-theming, will not rate higher at this time due to the high randomness and potential for frustrating player experiences. I don't think this one will get old. If it does, rating will drop."
19,AgentDib,8,"Base game
3-6 players
60 min
2.0 weight

Drafting / Area Control"
20,agentpatman,10,Very clever are a control card game. In a two player game the second age is a lot less important since you are unlikely able to get enough cards to control the area so clever card play comes in to just score then it use the powers to gain an advantage. The factions or races are very cool and play differently. Can't wait to try more combos of them to see how they change the gameplay. It's a simple game but enough choices to make tough decisions especially as you push your luck toward the end with the dragons or the 10 card limit. Definitely some take that as you need to be aware of what your opponent is going for in a two player game to make sure they don't complete the critical set they need to tip the area majority in their favor.
21,agoodall,9,"Received for Father's Day, 2017."
