,username,rating,comment
0,AndySzy,6,"Light filler dice roller. Feels a bit less substantial than Machi Koro or Space Base. I think what I'm missing for this is the ability to stack spaces - you're only ever going to activate one card when you hit a number, so you can't do the risk/reward of making one number awesome or spreading it out... You'll be spreading it out."
1,Be_Narangi,6,2020
2,biasedisland,6,"My wife and I really enjoyed this the first time we played it at a local con. Thankfully though we ended up just renting it from our library afterwards and didn't buy it straight out. It's a fun engine-builder with dice and a nice theme (I love food), but there's just not enough depth or replayability for us to purchase it. I hate saying this, but it's probably better for more than 2 players.  "
3,blutovs,7,"A light game that can serve as a gateway to engine building.  For a 30 minute game, I like it a lot."
4,buckbagr,7.4,"Fun, fast game.  I didn't know Cmon had it in them.  Very simple game with fun choices that plays out very quickly.  Perfect game for introducing someone to the hobby.  Not too much to think about, but choices do matter.  It plays out so quickly that you'll play a couple of times every time you bring it out."
5,danperrault,6,"Sometimes I want to sit back relax and play a game where I make some choices but the randomness plays a big role.  I like when these games are shorter and this does fit the bill.  

Vs Machi Koro the art is not as pretty but is good.  the game play is better and the length is a little shorter.  

Vs space base it is shorter and is less of a space hog.  Randomness seems similar in both games.  I enjoy space base but do hate how all the cards slide around.  You do get the big turn in space base that feels great.  Big turns are smaller here.

The ridiculous insert.  How can game designers not understand that boxes may tip 90 degrees.  This beautifully organized box becomes a complete tornado strike by simply putting it on your shelf or stuffing it in your bag to bring to a friends house."
6,davkus fochuckle,8,I played a Demo at CMONexpo this year.   It seems a little like space base or machi koro.  I liked it a lot.  It seems like it would have good replay value since you don't have the same sets of cards every time.
7,dimkos,N/A,20€
8,DTLibrary,N/A,Shelf 4
9,evkefalas,N/A,Premium Sleeved
10,Gamegirlchic,10,Love it!
11,gamerdoge,4,"players are busy counting their own VPs and money. Much thinking and scrambling, not enough interactions between players."
12,Gkbinger,5,"Played at GenCon.
Fell flat for our group."
13,Gregkira,N/A,Gencon 2019
14,happy3000,N/A,**
15,Hribr,N/A,"2 - 5 players (best 2 - 5), 20 - 30 min, Age: 14+

In Foodies, players take on the role of managers in a food court. During the game, they will add new dishes to their menu, connecting the stars between different dishes. These recipes come from all over the world, granting different bonuses when added. What's more, players can hire chefs to work in their kitchens, including special, prestigious chefs who are the best in the business. In the end, the player who gains the most popularity will be declared the food master and win the game."
16,huffa2,8,"Apr20: this is a super fast engine builder that is the best machi Koro type game hat I’ve played. A couple of things missing from rules and it may be too fast, but at the moment I think it’s very fun.
May20: after more plays I have upped my rating by .5 it’s so quick and replay able and fun."
17,janbig,2,"One of the most boring experiences I've had in a while. Absolutely no agency or control over what's happening. It's the type of game where you sit back and let the game play itself.

I've never tried Machi Koro or Space Base, but if they are anything like this...no thank you."
