,username,rating,comment
0,117010097,9,nice looking and friendly to freshman.
1,3davoli,N/A,2017
2,8janek8,N/A,3T
3,agentpatman,7,"A lot lighter than we expected. Families with young teens or earlier would probably enjoy this. Nothing particularly bad it's just pretty light on strategy. Place gear, collect resource, repeat. Became a little more interesting when you can draft your gear instead of drawing. Sometimes you get lucky blocking an action which you could disguise as strategy. Great miniatures, but for us it's just little light on the decision making and doesn't provide enough fun in return like some other games."
4,ajewo,N/A,"Competitive hidden unit deployment game by Eric Lang (Blood Rage). Players secretly place their units on different locations to collect resources and do an action depending on the unit (agent).

+ Artwork
+ Components
+ Unusual Theme
+ Each player has his own upgradable engine which give player a direction to go
+ Easy to teach
# Saboteur unit to screw with other players

Similar games:
* Clockwork Wars (more complex, more depth, more variability, hard to teach)"
5,Alannamairead,8,"Jason & Janine's copy, pretty accessible fun, heaps of room to develop strategy"
6,alcofa,7,Simple and clever idea with the workers here. Great production in this one. 
7,Alex the Pretty Good,7,"Interesting worker placement strategy.
Has several game mechanics to track but after one game the logic just clicks.
Beautiful miniatures."
8,Altasia,N/A,Interested
9,ande9249,8,"Yes it is lighter, But the player powers does give just enough unbalancing to the game mechanics where each game does feel interesting. That said, most times you won't be able to leverage the player powers until around 25 min into the game. Which can be a lot to ask in a 60 minute game. "
10,Andr0ss,9,Based on my experience on playing the prototype alone I can say that this is an impeccable design. A great publisher will only curate this and flush out the graphics and component's but the design is solid and fantastic. I can't wait till its out on shelves. 161011
11,Andy Parsons,3,"Mixed production standards.  The building miniatures are nice and the plastic chips that are the players' workers have a good heft, though the bolt/copper plate chits are tiny.  The artwork is handsome and the rules are clear enough.  

Something appears to be missing, however.  An evil mastermind has stolen the excellent design that the combined talents of Lang and Bauza surely produced and replaced it with a simplistic exercise in worker placement and vp trawling."
12,annsk8r,3,"This game was poorly play-tested.  It was such a good concept, but really poorly executed."
13,awsiddons,N/A,Mind Games winner
