,username,rating,comment
0,4ndrewcol3,8,My favorite shorter game
1,A3oN95,N/A,CON
2,Abdul,6,"Decent but forgettable. I would have expected at least some names for the various cards to inject a little theme into the gameplay. Just too dry and simple for me. The marble dispenser is cute, but kept breaking and dropping marbles onto the table."
3,Achire,7,"Light game. Pretty fun with all the card combos and I like the mechanics a lot. The marble randomization is pretty cool. The only thing I don't like is the game length - it feels a little too short, so it doesn't really feel like your engine actually comes together before the game ends. The super-short length also makes it really hard to come back from bad luck. So good game that I'd be happy to play, but don't feel the need to own it."
4,Acoidan85,8,Grintxitos 
5,adamdynris,7.5,Boardgamebliss dec. 2018
6,adamgospod,8,W koszulkach
7,adamscott,9,"Another solid Phil Walker-Harding game.  Easy to learn, but enough strategic depth to satisfy.  After two plays, I really enjoy it and have put it on my wish list.  Not sure how long it'll hold my attention since it's so light, but great game for now!"
8,adamw,8,It is very fun - like a small step up from Splendor or Century Spice Road because it has combos that are quite satisfying. The end game scoring could be close - or could be a blow out depending on a few of those Level 3 cards that can really score big if combined well. Very fun and delightful in production!
9,aeaswen,8,This is a great game for what it is. A light game that is quick that will introduce players to engine building and combo type games. I have enjoyed every play of it.
10,ahwood23,N/A,"I really want to try this, but have so many unplayed games, maybe I should trade it?"
11,Ajax,7,Really nice engine-building game.  It ramps up well from truly simple to slightly mind-melting.  Almost goes on a little long.  Good use of iconography and insert.
12,ajax013,8,"+ Great match of simple rules with escalating gameplay; as silly as it is, the energy dispenser adds a lot to the appeal of this game.
- I actually wish that the four energy types weren't symmetric in what they offer... it would have been cool is heat energy was somehow inherently different than atomic energy, etc."
13,ajewo,7.5,"Action selection game with card drafting. Players are tinkers who build gizmos. Colored marbles represent power required for the colored cards (gizmos). A three dimensional cardboard cue shows which marbles come next. 

Pros:
+ Components (tactile, big marbles, marble tower)
+ Built gizmos grant special powers, e.g., converters, additional marbles (engine building)
+ Upgrade your stats
+ Convert marbles give flexibility
+ Satisfying combo building that mixes short-term and mid-term planing
+ Quick playing time

Neutrals:
# Rather abstract game
# Random draw of marbles
# Family game
# Higher player counts create more unpredictability for the available marbles.

Cons:
- Starts a bit slow
- Over the course of the game, there are a lot of triggered effects to keep track of (potential analysis paralysis may slow down the game)

Similar games:
* Mechanica (factory, spatial puzzle, swingy market, cool theme integration)
* Potion Explosion (very luck-based)"
14,Al Capwnd You,9,"Gismos feels like a lighter version of Terraforming Mars in terms of an engine builder. A card-and-marble engine building game where you can chain/domino abilities. The marbles might initially think of a kid's game, but there is a good bit of strategy to make an efficient engine work towards earning you points and not just spinning its wheels.

Terraforming Mars feels like it is a more mature game with more depth, but Gizmos is easier to get to the table for a family. If you enjoy engine builders, Gizmos is a great addition as a lightweight introductory game that will still be fun after the initial play."
15,Alannamairead,7,"engine builder, serious first player advantage but neat design"
16,alfonzos,N/A,"Fast-playing set collection game. Rather than using chips or cards as currency, the game uses marbles. Not as good as Bazaar but better than Century Spice Road and Splendor."
17,alia4444,N/A,Has plastic dispenser
18,alicebentley,N/A,"I've played this about half a dozen times now at our gaming group meetup, and while I'm still a bit murky about the best strategies to follow, I really like the mix of choice, luck and structure. Looking forward to playing many more times."
