,username,rating,comment
0,aarett,3,"played a demo of this at comic-con. very weak. replay value seems low and compared to the actual video game... makes board games look bad.  too bad they couldn't have skipped this and gone straight to a miniatures game.  maybe just a bad demo but otherwise among cmon games it ranks inbetween ""monstrous"" and ""gateway uprising."""
1,Axelay,5,"Rating after first game: 8 (lost after 5 minutes)

This game has a lot of cool mechanics but there are not a lot of quests to choose from.
The rulebook isnt clear enough for me and I had to watch playvideos.
I think there are a lot of good ideas but somehow the game doesnt feel 100% developed. But I want to give this game a chance and hope that CMON adapt these game mechanics in other future games and make it better.

Replayability seems low for me. But we will see...

I have to lower my rating after more plays. This isnt well play tested. It has a lot of good intentions but it fails.

Rating 5 (after 10 plays). Still didnt beat quest 1."
2,Bandit17,7,After a couple of play throughs to learn everything it really becomes fun!
3,BastardCafe,N/A,2 40.6
4,BGYI,N/A,"1-4 player
Hardcore"
5,BG_Geek,7,GER
6,bleached_lizard,6,Played at GenCon.
7,brokasaphasia,10,"This is the best deck building solo puzzle solving adventure game I've ever played. It surpasses Mage Knight in every category : deck building, solution space, variety, theme, (table space)... I hope they make expansions with new Scenes!"
8,Buccs13,N/A,Fev 2020- usage 25
9,Callomac,5,"Very puzzly. After your first game, win or lose, you know what's on the backside of cards )because nothing is randomized) and so you know what exactly you need to do to beat the scenario. Not a fun experience for me."
10,carlosleonrendon,N/A,1-4
11,chtfld,N/A,Unplayed
12,Civorimkum,9,It's a really fun game! The game looks gorgeous (because all the visuals come from the video game) and it's a lot of fun to play with your friends. The game is a little too easy and it can get repetitive be ause there about 10 different quests in total and you get to do 3 of them on every playthrough! Still... the experience is worth it!
13,crcpanzer,N/A,"CMON LIMITED
LOCATION: 417"
14,DanVader50,N/A,Version Française
15,DeafSwitch,8,"easy to learn, quick play, deck buildind, ""stage level"" core game is great, solo works great, con : cards from deck don t have any good look, lazy"
16,DisasterAiR,6,"BOY, that was difficult game."
17,dla133,9,I have other deck builders but none that play like this. The way the scene cards can flip and change the environment are a lot of fun and add a different dynamic. I’ve only played purely solo so far and the scenes and quests so far from a difficulty rating are about a 7/10. Looking forward to playing this more.
18,dmczyn,10,"Huge video game fun, bring a lot of expectation to this game and this game hasn't disappoint me at all!
It has high quality component and neat mech. It avoid the ""one-man-lead"" issue in most of the co-op games and you can feel involved in each game because you have your own deck and you will need to build your deck during the game.

Love the combination between DBG and Coop!"
19,ediuha,10,Nice game! Will  be waiting expansions- lot of them :)
20,edparkmike1,N/A,Don't buy this one.  Too easy but bloated with iconography.
21,ekaze,3,Too much iconography that isn't properly explained in rule book
22,emodiu5,N/A,"Solo was good, but 4 player seemed almost impossibly hard."
23,erginartesia,N/A,Solo option
24,feralway,7,"Game is just ok, even if some missions are overly frustrating while others being too easy"
25,Festivus99,N/A,Boardlandia
26,Giulie,8.5,Played 2 Player. Really enjoy playing. My husbands new favourite one.
27,Goodsound,N/A,"Not enough Scenes (low replayability)
Bland deck building (few comboing)"
28,Guthwine3,4,"Disappointed in the 'look' of the game and the cheap, often flimsy-looking components.  My son really enjoyed the game but for me, the gameplay wasn't original enough (or exciting enough) to overcome the art direction."
29,hatbeard,7,"Current Location: Brighton
Solo Rating: 7/10

"
30,Icecreamman,7,Some nice puzzles to solve.
31,indianajo883,N/A,Sell
32,jasonberube,6.5,"Beat the Boss Girl with the wings, Ogre, and the scenario with the Fire & Frost giant. "
33,Jirimua,9,Příjemné
34,Joel2014,8,Rules really could be better
35,johnb4bgg,N/A,actual attack play is boring
36,justwright62,N/A,1-4 players
37,Kaleostro,N/A,German Version
38,Kengi,N/A,#Review
39,krivalis,N/A,Gina
40,KRWoods1,7,"I have not yet played the video game that serves as the source material.  That may add to my enjoyment a bit.  But on its own, this is an enjoyable cooperative experience.  My complaints go to the rules, which leave a lot of things to the player to figure out.  Also, since you play through three scenarios each game, and the game only includes 10, the novelty of the game may expire fairly quickly.  However, the game looks good and I enjoyed my experience."
41,LarsHolgerRoth,3,Boring
42,Laurynne,5,It has some interestimg ideas but I fear it will get boring after just a few plays. There just isn't enough variety.
43,LuchozzyCL,8.5,Excelente cooperativo y campaña solitario es excelente
44,luddwig,7,first strike : easy ?
45,madmac11,6.1,Wenig Entscheidungen und teilweise kaum Einfluss auf das Spiel (mussten mehrere Runden auf die richtigen Karten warten ohne dabei etwas Sinnvolles tun zu können). Grundidee und Setting eigentlich gut.
46,MannyM,8,A surprisingly good deck-builder with lots of neat gameplay twists with each quest. Plays well solo too. On the lengthier side of a deck-builder though.
47,MaskedGuido,8,Played @ Gencon 2019 - Pleasantly surprised by this game after the demo and a playthrough.  Bosses feel like puzzles - characters all feel different - light deck building elements.
48,monkeyvsmonkey,N/A,Playtested
49,Mozzik,5.5,"This plays a bit like the Dresden Files game (Where working out a plan of attach to take out a scenario as a group) with a bit less puzzle and a bit more deck building (Though not a lot of it), strapped to standard coop ""Do a good thing, then a bad thing"" gameplay loop.

The problems it runs into are that it doesn't seem very challenging, I think the replay value will quickly be consumed (10 scenes in the box and you play through three of them every time you play) and at least one of the two scenes we played ended up being very confusing to figure out and, assuming we read it right, it was also very trivial in difficulty.

It can also be surprisingly lucky given that attacks are often in the 3-7 range and defense is randomly between 0-5 so... results may vary.  A lot.

The deck building is also very light with little variance or interesting choices, you just don't loop through your deck that much and the decision to have all deckbuilding go to the top of your deck both mitigates this and reduces the value of the rest of your deck slightly."
50,MSanto,N/A,40€ tgr
51,Mwc_84,8,"Great coop game! 
The components are a bit on the cheaper side but you can get the game at a really low price."
52,Nadz_450,N/A,S
53,Nalex222,7,"Another solid board game adaptation of a video game. There's a lot to like here. The rule set is simple, the gameplay streamlined and the mechanics innovative. The scene cards and your interaction with them are thematic and bring the game to life. I wouldn't be surprised if we see a much bigger game from CMON in the near future that uses the same ideas. The designers have done a terrific job with this and the overall production is great. My only complaint 6 plays in, is that it does feel a little on the easy side and once you've beaten all the scenarios a couple of times i'm not sure why you'd keep coming back."
54,Neptrone,N/A,i love it
55,paxtt,N/A,Copies: 3
56,Peps43,2.4,Buy Boutique Imaginaire 44.99$cad
57,Posco,8,SHUFFLE HEROES
58,Proti_BG,N/A,solo
59,rahdo,N/A,"some very clever design tricks, but in the end, as a 2p co-op, it was just too easy"
60,rainydaysteve,8,Very interesting puzzle-like mechanic to this one. Everyone at our sneak peak play through was skeptical of this licensed game when we started but we were all quickly won over by the simple mechanics with growing depth as we explored the game.
61,Ras3382,8.01333,Awesome mechanics 
62,rjones53,5,Played a prototype. Bad explanations and shoddy components didn't help but the game also doesn't seem to be very good.
63,ryanmurakami,N/A,1-4 Players
64,Siar,2,Boring deckbuilder
65,StanTem,N/A,Unpunched
66,Strumiker,N/A,Players 1 2 3 4
67,Sturmo,N/A,Spelvogel
