,username,rating,comment
0,030670628,7,A good fast path game but very dice heavy.
1,4x scalper,7,One of the best voice over promos ever. I laughed and watched it again. Worth a 7 for the KS video alone.
2,aarett,10,i LOVE HATE!
3,agiese,N/A,Storage - Regal
4,ajewo,N/A,"HATE is a game all about 1v1 battles between barbarian tribes in addition to a campaign similar to the campaign system used by Games Workshop (Blood Bowl).

It has a very dark theme:
""Your goal is to murder your enemies and drag them back to your camp so you can torture or eat them, in order to hate them more.""

""You activate warriors in alternate turns, moving and then taking an action, which is usually attacking. Positioning is important because a lot of your minis can support the attack of other minis by standing close to the target, and because you can use higher ground to roll more dice in combat."
5,Akado,6.5,"Neat skirmish game, with campaign mechanisms and considerations.

Played as one-offs, it's just a ""beat 'em up"" with tons of casualties.  Much of the tension seems to arise from trying to medic away your dead people to safety, versus carting away the bodies of your opponents to recycle into materials (to give you bonuses in later fights).  With that removed, it's just a one-dimensional dice chucker.

I think it would be interesting to play as a campaign, as the one-off took 1 hour including teach, but it would need more than 2p to make up for the luck of dice and wound card flipluck."
6,AKHawkster,5,Definitely needs the campaign to add decision making to the scenarios.  Otherwise you just blindly blitz the objective and hope you roll better than your opponent.
7,ako_ay_bisaya,8,Surprisingly a very good tactical game. Plays quick and great miniatures to boot. 
8,albertshye,N/A,New in shrink.  For sale or trade.
9,alexfadeev,N/A,"I want to buy a complete set, including plastic terrains, etc. EU (LTV)"
10,AlfonsoHH,8,CASA
11,AmazonWitchDoctor,9.5,KS
12,andrewbsteiner,10,"Haven’t played it, but excited to.  Just want to offset a 1 ranking for someone else who hasn’t played it.  No one is forced to buy it.  Do or don’t, who cares.  One of the few things that really harms the hobby is how people treat each other."
13,anoptichtys,9,"dodatkowo:
The Mother Prophecy
Tribe of Sarrassa
Tribe of Um'Tull
Tribe of Vore Nash"
14,anouseonly,N/A,$120 Kickstarter
15,Aploribus,N/A,lol since everyone
16,Arboretum,10,"We own the game and are more than happy with its outstanding production value. Personally I have not had the chance to play it yet (cannot wait to do so!) but have been present during the full length of several playthroughs where people were so happy and convinced that some had to get it for themselves, too, as soon as possible. 
These are the reasons: It is not difficult to learn, but plays extremely well and time flies while you are having a truly great time. It is immersive, exciting, versatile, you have lots to do, and it is neither too hard nor too easy to win. There is so much interaction going on all the time, even when it is not your turn, that the mere concept of ""downtime"" becomes irrelevant. The components are excellent and a joy in themselves.
The theme is dark, of course, with cannibalism and torture, but hey - it's a GAME, right? Cardboard and plastic, no harm done. It is clearly designed for an adult audience that would also e.g. enjoy horror movies. As such, it is very enjoyable indeed! And it did have one of the friendliest kickstarter communities ever, so that shows you: HATE can generate friendship and deserves some love, too."
17,arkhonPL,9,"At first glance we (me and my wife) were overwhelmed.
At second we were astonished ;)
3 games later  - we are in love with this game ;)"
18,Asmoridin,8,"Basically what I expected.  Battles are quick and bloody, and the campaign system is quick enough to get you back into the action almost immediately.  I know some people are turned off by the theme and presentation- it really hasn't bothered me all that much (and to be fair, I expected it would, at least some).  Seems pretty good, for what it is."
19,Axelmango,4,"Excellent minis. 
Terrible battle mechanics. 
So, much potential tho..."
20,Az79,10,The Minis alone make this a ten. Gameplay loks simple but fun (easy to learn and to play) definately more a board-than a minaiture game from teh feel of it. Like the idea of the Necromunda/Blood Bowl like champaign/league play. I really really have to wonder how people think that the theme is that bad. This is not worse than Warhammer. We have zero nude characters  (the tokens abstract the idea of captives as a resource as well)  The trailer is pretty bad though at least it show the brutaility that you will see in the game (With teh minis fighting and falling over) That is all you don`t even see graphical violence on the Tribe/Village board. If words and ideas are such an offender to you than I have no idea what to say.....
21,baddy2,8,Iñaki
22,BadPritt,6,"Interesting system, but a tad too gorey for my taste.
May improve rating after I got to play the campaign mode."
23,BaneStar007,8,"I bought this for the CMON minis, not the game. BUT was pleasantly surprised that the game is pretty ok too. Its Blood Bowl really, but a little more playable, simplified, and the minis! wowsers."
24,BazookaJoe1911,1,Concept and description.
25,begru,N/A,2-6 players
26,bigblock75,N/A,I split a Kickstarter pledge with a friend of mine.
27,BIgLatinDude,9,"I'm just gonna give it a 10 cause I'm seeing a lot of hate (sorry about the pun) towards game because of its themes and mechanics. The game is not politically correct and this is exactly why I backed it.
After seeing how the game plays, I have no problem with it.  There are different games for different taste just like music and movies and books, you name it.
I'd rather wait until the game is released and played before we sharpen pitchforks and get the torches lit.
So it's a 10 now, and I'll update this as soon as I actually play it."
28,blarknob,10,Haters gonna HATE
29,Blklist,9,"Very great game with lots of depth. The theme is definately mature and not for everyone, but from a pure gameplay and fun factor perspective the game is an A+ for me. So glad I was able to snag a copy. Oh and the production quality like always is top notch!"
30,bmosher23,N/A,"Includes plastic trees, huts, and plateaus from kickstarter campaign."
31,Bombance,10,Yet again a stellar product from CMON. Game was unfairly slammed when it was kickstarted in 2018 because it looked too simplistic - it turns out to be (after a couple of games)an extremely strategic and fun game with top notch components and a huge replay value. Simply fantastic!
32,Bondi73,N/A,"english
https://www.youtube.com/watch?v=DqI-U8uRqFM&t=977s"
33,boothystu,10,Easy to get into and works well as single skirmish. Laminated the Chronicle and Village sheets so they can be reused with stickers or felt pen. Enough mechanics to keep the game interesting without overcomplicating things.
34,Brendakaye2000,N/A,Kickstarter
35,broi3,8.5,Really impressed with how well the theme of the graphic novels comes through.  So many bodies on the hill had to waste a turn taking one to make room.  Awesome!
36,brokenfang,10,"Backed.  Hate to give it a 10 so soon, but, why not?"
37,BronRohl,10,You can play single battles or a whole chronic. Love the mechanics and the whole setup. We would call it advanced chess ;) Sometimes it reminds me of Zombicide or Bloodrage... I highly recommend this game.
38,Brother Horus,N/A,"
"
39,buckbagr,7.1,"Tried a couple of one play skirmishes, and it is a fun enough game to try again.  Better than I had anticipated.  I just don't know if I have a campaign in my group, and I think that is the way it is meant to be played.  A lot of potential if you have a group that will stick with a full campaign."
40,Burningleaf,N/A,"Fun, well thought out, amazing minis."
41,cadblur,2,A two player simple skirmish game that tries (too hard) to be for a Mature audience but with pretty basic (boring) game mechanics.
42,Cage,6.66,6.66
