,username,rating,comment
0,ACGalaga,6,"I'm a fan of the comics so it was nice to see all the art used in the game... but even with the ""easier"" setting (using 2p track in a 3p game) two unlucky rolls cost us the game... and I wouldn't say it's a fun game to lose, since the only thing we could have really improved upon is roll better... now that's just frustrating. Not sure if I want to try a harder boss if this is how it plays with just Red Mist."
1,alcofa,7,Great game to fans from comic book.
2,alepit,8,very enjoy
3,Altasia,7,"CMON if you are reading this, release this in PERSONA reskin and I'll happily purchase a copy. The kick ass aesthetics didn't work for me."
4,AmazingAnt,9,"great great game!
-1 for game material (thin hero boards an marker )
but... love it :)"
5,AngryJoeShow,9,Fantastic Coop game thats very thematic and fits its license perfectly.
6,Argopellter,9,"Awesome theme, great game mechanics, Rule book fun and thematic."
7,AriasMX,N/A,"Cards:
56 Dixit Size
96 Standard 
93 Mini

Sleeves:
D: 80 X 120 (Mayday Magnum Size Sleeves)
S: 63 X 82.5 (Mayday Card Game Green)
M: 41 X 63 (Mayday Mini USA)"
8,armadaman,N/A,"New, still in  original shrink-wrap."
9,BastardCafe,N/A,1 40.5
10,bigoi75,8,"I've played it solo (twice) and in 3 player count and it work well!
First play was a little bit slow and confusing since there are lot of things to keep in mind BUT already on second play I start to enjoy this game. With bigger player count difficulties raise up but working in team you can afford this.
Dice results must enter, so there is lucky (also with card draft for object, events, villains etc.) but you also have tacticts to play and you never feel frustrated.
It's a long game (60-90 is not real ... just consider at least 45min/player) and some being a cooperative is necessary to have a good grooup, but if you like the comic (and even if not) justget this game a chance.
Played only first scenario (Red Mist) until now. I'll tray asap the other ones."
11,Bitpicker,6,While I was able to win the game once in solo mode with a single hero I get the impression the game scales to get MUCH harder with each further player. If you find it too hard to win with more than a single character you can scale it down a bit by using the spawn bars and / or event cards for fewer players.
12,Bradds125,N/A,"28-Apr-20
£22.99 from Zatu"
13,calbond,4,"Overly long, poor rule book leading to confusion, and comprised of a hodge podge of mechanics from better games, this was not fun. Will not play again."
14,Chamiux,N/A,2.88 / 1-4
