,username,rating,comment
0,8janek8,N/A,pl
1,AetherTower,6,"Played with 6 players and felt one set of the player powers more advantageous and one other set of player powers disadvantageous. If those were balanced, this might be a 7 or 7.5"
2,AkioSix,2,"Played a demo. Maybe a 5 or 6 years old child should enjoy a game, surely not an adult person. Very poor game design."
3,andretl57,10,just love it.
4,battlepuppy,4,Based on rule book review. Looks nice but where’s the game?
5,BGYI,8,"2-6 player
Medium"
6,bibbo21,2,"Deluxe Edition
Perfect condition"
7,Big Bad Lex,N/A,"Not Played: As a first time around fan of the TV series as a child, I was beyond excited to see this was to be a game. Such an awesome theme with so much opportunity for each car to have it's own bonuses to thwart Dick Dastardly.. 

I have now read the rules and it seems the box is mainly storage for the excellent minis but they have forgotten to include a game. This seems to be a card flipping exercise devoid of any meaningful decisions. What a terribly wasted opportunity for anyone above the age of 6."
8,bigoi75,6,"really enjoy the minis but, after only one short game at Lucca Comics and Games 2018, I recognize it's a little too simple. Need to play it gain,"
9,Bonzenmann,10,"It's Wacky Races - so how can you not want to have it?
Very light but extremly fun Game!"
10,Broodstar,8,"Solitaire rating --- Has some potential.
Family rating ----- 100
Fantasy level ----- 0
Sci Fi level -------- 0

(I have to look into solo play. It has potential.)

This game does exactly what you expect of him: delivers a quick, light racing game full of fun moments and Whacky Races cartoons nostalgia.

• It plays quick. 
• Has amazing minis.
• The overall feeling is exactly as in the cartoons.
• The track cards and character boards could have been a little thicker, but overall they are ok."
11,Candide3693,8,"I know it is silly, but I like this game. The theme evokes fond childhood memories of watching Wacky Races with my brothers."
12,cardonethemagician,7,Way fun party game!
13,Cat_O,9,"A good light game that captures the flavour of the show quite well.
The miniatures are outstanding.
The cardboard components of the not-deluxe version could have been thicker."
14,Cid76,9,"Simple, easy, fun, thematic and with dirty tricks (and excellent miniatures) : how can you not love it?"
15,CinCin,N/A,Deluxe Edition with pre-painted minis
16,DDPage,6,4-6
17,dizkoboi,N/A,"Loved the cartoon when I was a kid, now a board game exists....YES!"
18,Doctor Frikistein,7,"I expected more backstabbing, but it is a familly game. Minis are awesome but I think the circuit could be better."
19,drscottkelly,N/A,Deluxe edition; includes corrected tiles; cards sleeved
20,DTLibrary,N/A,Shelf 7
21,Duglis,7.5,Light Racing game based on cartoon
22,EarlofBronze,4,The theme is great...the miniatures for the cars are fantastic!  The game is just okay....
23,EmpireBGL,N/A,B5
24,ericbinnyc,7,"Quick, chaotic racing game with smooth card-based gameplay and awesome thematic artwork and miniatures. Definitely hits me in the nostalgia wheelhouse."
25,FranklinTV,N/A,Yet to be played (Feb 2020)
26,garland410,8,"Surprised the rating isn't higher for this. I really like the mechanics and feel it emulates the IP rather well for a board game. It's fun, has cool minis, doesn't take a long time to play, and isn't hard to teach. What more do you want?"
27,Geekway,N/A,"Finefield, MM, 07-05-2019"
28,GrowlingWarrior,5,The cars look amazing. The game is just mediocre. Needs a large number of players to even function.
29,guilou05,4,VO
30,hackryder,N/A,"An overproduced box of miniatures in search of a game to play. Will be an insta-purchase for niche nostalgics but with zero interesting gameplay included with these admittedly cool-looking race cars. 

Card play determines movement - reminiscent of Odin's Ravens - but less elegant. Games with less than 6 require neutral cars and auto movement (one space each turn) as filler. Each race car/player has four special power cards. Dick Dastardly isn't a playable car; instead if he takes the lead he plants Trap cards in the path of the other players. 

All this supposedly takes 10-15 minutes, which sounds off - with building the track and moment-to-moment card play (1, 2, or 3 cards), plus special powers, plus neutral car movements, plus Dastardly movement, plus possible traps... it just seems fiddlier than it should be for a ""fast"" game, and anything longer than 15 minutes would overstay its welcome. 

This game with any other better racing game's base mechanics would probably be a hit. It's too bad this couldn't have been Downforce: Wacky Races."
31,holycrap2003,7.5,Okay.  The game has mini cards and the terrain markers are thin.  So what.  the minis are unbelievable.  I would rather have small cards and this track pieces than bland art at generic wood tokens. The game itself plays like the show.  It is fast and chaotic without a lot of long term planning.  The individual player powers are the only part a player has a lot of control over.  But that is okay.  This isn't meant to be Formula race 90.  Try to get your family to play that racing game.  It plays fast and leaves wanting to play it again.  Paid $37 for my copy at cool stuff inc so the price point is where it should be.
32,Hunszi,3,"Túlárazott társas, ahol közel nulla döntésed van a játék során. Sokkal jobb játékot is lehetett volna építeni erre a nagyszerű klasszikusra."
33,John Caliber,10,"The ideal game when time is short, patience is limited for learning new rules, and an upbeat, colourful and quick-fire experience is desired. The vehicle models are lovely and cast in pleasing shades."
34,Jonathan1990,10,My childhood favorite show. Game play is simple and tactical yet fun. The mean machine and traps mechanic is well implemented
35,Jopo43,7.5,Its a wacky game!!! A fun little game!
36,Karenv731,N/A,Played demo Gen Con 2018. Just want to buy the miniatures.
37,KarolusRex,9,"Very fun, easy, good for child and TV serie maniacs"
38,Kweevnidny,6.5,"Like a lot of people nostalgia was what prompted my purchase so I was a quite disappointed and felt conned when I opened the box to find I had bought a box of air I would say that well over 50% is air (with eyes on the environment when are they going to pass laws on unnecessary packaging) this could have been safely packaged and sold in something half the size, the next negative is the components the board is of thin card (not too dissimilar to Gibsons Turf Horse Racing track) and the cards are small sized (1 5/8"" x 2 1/2"") and fiddly to handle, I bought Tiny Towns at the same time it was £31-95 compared to Wacky Races at £35-95 and overall I was significantly more impressed with the components and packaging in Tiny Towns. The first positive was the miniatures which are excellent but I would expect that from a company that brought us Blood Rage, Zombicide, Massive Darkness etc. and call themselves CMON but I anticipate the other components to at least be industry standard NOT sub-standard. The last moan before I go on to the game-play is that the rulebook although easily read was a complete pain in the “proverbial” when trying to look up clarifications mid-game. So what about the game-play, yes it is luck driven that is certain and I understand the comments made by others but credit to the designer if you immerse yourself in this facet of the Hanna-Barbera universe the game reflects the TV show perfectly (certainly as I remember it) this game is for role-playing and having fun, it is all about the journey and having a laugh at yours or others misfortunes, it is not about tactics and clever plays although the special powers give you the illusion you can do that, by all means play to win but do not expect to do so, the game I feel will be at its best at the full player count of 6 and with gamers who are looking for fun, its no good placing Tiddly Winks in front of a bunch of Bridge players on Bridge night, some people have commented it’s a childrens game but I would say we are all kids at heart.
I would have rated this at 8 but disgusted with cardboard components in retail version and (imho) sinful over-packaging
(edited after first play)"
39,LucaCiglione,7,"Game is simple but it is able to take at table everybtype of players. Adiltscand childrens, pro and new player. Cars are amazing."
40,Luisjoey,6,"a good and quick race games, rulebook it´s not up to the explanation that could lead you to think it´s not made well, but it´s a great game!"
41,magedoc,8,"I got mine in the US. The cars are gorgeous, exceptional paint job. I have read through the book, but have not played yet. There were additional tiles in the box to replace the ones in the box with the missing information. I understand that this was a long overdue game, but I must say that i am impressed with the final product so far. The trays fit all the pieces and there is even a option of trays for sleeved or non-sleeved cards. I find the components and box to be from very good to exceptional (the painted cars). This game was made with love for the theme.

The gameplay is simple, but fun.  There is some variation in special skills among the different cars.  The games does play in accordance with the theme.  It also plays well solo.  There are some differences in a couple of the cars that would need a little tweaking to run solo, such as choosing from the deck when instructed to choose a card from another players hand.  This is easily fixed with a minor house rule.  The AI for the non-player cars seems to work well."
42,Marcial,8,I see the video and I am so interested.
43,matango,8,it's a game perfectly fitted for young players.
44,mbraun00,5,Transferred to SaltCON
45,Menteenblanco,7,Excelent for playing with kids 6-10 years old
46,mhutton,N/A,pre painted edition
47,MIJB19,7,"Some games are boring without their theme, this is one of them. It's a neat filler, nothing spectacular, but the theme really adds to the fun. It's more random than I'm usually willing to see in a racing game, but it's short and silly."
48,MrHead,N/A,IMBUSTATO
49,munchkinloser7,6,Overproduced and uninteresting. Another Grimm Forest. But in a lot of ways it's just a matter of opinion if it's worse or better than say formula de. Both have their pros and cons.
50,Munny,N/A,Juego que está basado en una serie de mi niñez de la que era muy fan y me encantaba. Las minis parecen muy chulas aunque el juego parece muy chorrón....
51,Narval7,N/A,M
52,nickmoore211,5,The game artwork is great and based on a fantastic old skool cartoon. Had a lot of potential but the gameplay is a little boring with no real player strategy or interaction with other players - missed opportunity
53,Nightmaren,10,"Never played it, but what the hell, it seems everyone else can rate a game they've never actually played poorly so I'll rate it a 10 based on the fact that I like the cartoon."
54,nikkapo,4,Where is the game? Extremely boring
55,olivierandu,3,"great insert,
nice figurines,
that's all ..."
