,username,rating,comment
0,Acido,N/A,Март 2021
1,aguzman,8,Looks like a friendly game. Interesting mechanics. Definitely a kickstarter “All in”!
2,antimog,N/A,March 2021
3,aquilonien,N/A,KS
4,ARFO3869,1,"Hello. I thought I will never give a bad comment/grade on a game due to an awfull behavior of the editor of the game. But I've to. 
Cmon was aware that this game should be delivered in the stores before the delivery of the ks package. 
And this company hided it during the all campaign. 
After the closing of the ks period in an news they informed all the bakers about the 2 waves. And the extra shipping cost if you would like to receive the core game before your ks parcel.
In August instead of December. 
In the following news.. after I think many many furious comments... They proposed to refund the disappointed backers... A simple email to their support... But you must do it during a short period of time. I did it as I was furious to pay an extra shipping fees... I received a basic email answer... Many support requests... Please wait... 
So nearly... No answer. 
So to conclude I paid for a game that has a basic game play... Ok no problem for me, with nice figurines ok also, with many streach goals... Wahoo... At a level of price which is too high... 
They pushed me to pay much more than I would like and It was not possible to cancel my order as the ks period was over. 
The basic shipping fees were high for one wave but acceptable but not if you add the cost of the second delivery wave. And the parcel will be not very heavy. Cards and small figurines. 
It is very far of my gloomhaven box. 
The shipping costs represent more than 30% of the cost of my ks. This is too much. 
They will definitely earn money on the cost of the shipping paid by the backers. 

Again, the same game (core game) in my favorite store will be cheaper than my ks one. 
Again an editor uses ks mechanisms to make a lot of cash ... With the money of the backers 
Again an editor... cmon hides information. to sell a product. 

I'm fed up by these editors, cmon is not the only one which use marketing and communication to sell a basic game as it could be the best game of the world.
 
So no cmon' game in the future for me.
cmon an editor who is not honest. 
Arnaud"
5,Atl_gamester,N/A,Richard kickstarted this one.
6,auf deutsch bitte,1,Die Firma die dieses Spiel auf Ks vertreibt ist echt das Letzte. So ein Verhalten darf nicht unterstützt werden
7,Baltasar,N/A,Kickstarter Version
8,bdishun,N/A,Solo
9,BlackPhalanx,N/A,Backed on Kickstarter.
10,Boardgamekae,N/A,Marvel United (Ultimate Pledge)
11,Boromir1983,N/A,KA WAVE 2 Πληρωμενο
12,Brad297192,N/A,Not played
13,cagriggs,N/A,Kickstarter - Due August 2020
14,Carltheman,10,Looks SO GOOD
15,ChrisMukherjee,N/A,Backed the [url=https://www.kickstarter.com/projects/cmon/marvel-united][b]Marvel United[/b] Kickstarter campaign[/url] at the Ultimate Pledge level.
16,clevelandsteam17,7,Will rate higher when they add x-men to the mix.
17,cRuEllY,1,2-wave shipping or paying extra to receive the game at the same time as it hits retail. NEVER AGAIN CMON!
