,username,rating,comment
0,AbyssalStalker,N/A,August?
1,Acee45,N/A,"Kickstarter Pledge - In Shrink
"
2,achekulet,8,CURSE YOU AGENTS!!! XD
3,acolyte,7,"Massive Darkness has some really fun dice rolling combat, a fantastic loot system, and a great level up progression within a single scenario.

It does take a bit longer than necessary.  And I have to say this game is WAY overproduced.  The minions are basically glorified health trackers.  I wouldn't buy this myself but I'd enjoy playing it again if it went faster."
4,actmoon,N/A,"Excellent components. Good gameplay in general, may require minor house rules depending on what you are expecting from the game. The game is a very good sandbox for tweaks as well.  By default it's a great dice chucker and thematic.

Edit: house rules might be needed for solo play at later quests 
At 3-4 players no house rules are needed so far (quest 1-3)"
5,adrientyler,6,"Matériel très sympa, mais gameplay relativement simple.
C'est très bien pour des joueurs qui n'ont pas l’habitude des dungeon crawler ou pour se faire une partie ""défouloirs"". C'est dure de passer après Gloomhaven."
6,Aenoch,6,"The minis are great (that was expected). Other game components are good.
Gameplay wise I must say I am a bit disappointed. It really feels easy, You don't really need to plan ahead, it's a total dice chucker. I think it doesn't have the magic I felt in other dungeon crawlers I played (Descent 2nd edition, Sword & Sorcery).

I think it can be a good game to play with friends when no one wants to play a heavy game but just roll some dices and spend some time together. I would not recommend it to play solo, and even less if you look for a challenge.

Edit: sold it. Gets way to fiddly past half the game. You spend more time counting than playing"
7,AgentDib,N/A,"Base game
2-4 players
2.5 weight
180 min

Base Pledge
Plastic Token Pack
3D Pack Doors and Bridges
Heroes & Monster Set: Bloodmoon Assassins vs The Hellephant
Heroes & Monster Set: Warrior Priests vs The Spearmaiden Cyclops"
8,agiese,N/A,Storage - Box 1
9,aingerso,9,"[1-6] This is exactly what I was looking for in a dungeon crawl. Hack n' slash with limited fiddlyness with direct references to Heroquest and Dungeons & Dragons. It's got a classic feel and will be perfect for family gaming sessions sneaking in the dark and squashing some goblins.

KS Pledge; Plus Doors & Bridges Addon"
10,ajewo,N/A,"Ameritrash, cooperative dungeon crawler based on the Zombicide system.

- Some swingy elements

Similar games:
* Zombicide: Black Plague"
11,ako_ay_bisaya,8,Great one shot dungeon crawl. Lots of classes to choose from and combo different abilities with. The miniatures are fantastic and fun to play. 
12,akzile,8.5,Great game only let down by its campaign mode
13,alarm,8,just the retail base is enough. Still busy printing the expansions..
14,AlasDemigod,6.5,Preliminary rating after two plays.
15,Albatrocity,8,"New, Kickstarter edition. 

If you live near Los Angeles, we can skip the shipping, and do an in-person exchange. "
16,alcofa,7,"A good darker version of Zombicide with Dungeon Crawl Elements. If you like zombicide series you have a great game here. If you want a great DC game forget it. The campaign elements are good but sometimes they really don't works well.

A good game at all."
17,Alexcondijts,N/A,paint
18,alexgrant,7,"MUCH better than Zombicide: Black Plague.
Very pretty, though it seemed a bit short on decisions."
19,AllanClark,N/A,"Prefieren Zombicide.
Es un Zombicide con otras cosas más."
20,AmazingAnt,8,Very good with some houserules.
21,ambassador1,N/A,Tough. Lots of fun and kills the itch. Will play more soon.
22,AmericoMoura,N/A,i want play this game
23,amilu,N/A,"[color=#38dc77][i][b]Kickstarter Edition[/b][/i][/color]

[b]Expansions:[/b]
+ [thing=232977]Massive Darkness: A Quest of Crystal & Lava[/thing]
+ [thing=201942]Massive Darkness: Enemy Box – Elementals[/thing]
+ [thing=202827]Massive Darkness: Enemy Box – Ratlings[/thing]
+ [thing=203423]Massive Darkness: Enemy Box – Reptisaurians[/thing]
+ [thing=202305]Massive Darkness: Enemy Box – Troglodytes[/thing]
+ [thing=203011]Massive Darkness: Heroes & Monster Set – Bloodmoon Assassins vs The Hellephant[/thing]
+ [thing=201748]Massive Darkness: Heroes & Monster Set – Noble Warriors vs The Cockatrix[/thing]
+ [thing=203124]Massive Darkness: Heroes & Monster Set – Sorcerers vs Lord Tusk[/thing]
+ [thing=203015]Massive Darkness: Heroes & Monster Set – Warrior Priests vs The Spearmaiden Cyclops[/thing]

[b]Note:[/b]
- Doors & Bridges
- Chests & Pillars
- Lightbringer Pack
- Marble Dice
- Zombicide: Black Plague Conversion Kit
- Plastic Token Set"
24,AnakinOU,N/A,"Kickstarter
"
25,andlord,N/A,Really hyped for this right now. I'll update my rating after the first few Playthroughs
26,andre2001,6.5,"Langweilig, da der Dungeon aufgrund der Spawnmechanik gähnend leer ist. Am Anfang schwer bis man mit Ausrüstung ausgestattet ist, dann wird es langweilig. In Szenarien ohne Zeitdruck kann man Monstercamping betreiben zum grinden, Grotten langweilig."
27,AndrewAU,N/A,Kickstarted
28,andrewflansburg,7.5,"Individual games are fine but it takes too much time deciding what new weapon to use or whatnot because in the first few rounds you need every advantage you can get. The first door is always the hardest. Mid to late game you're making paste out of all the minions. 
In campaign play I'd suggest only running 5 games as the micro experience is 1/5th normal. EITHER RUN THROUGH THE EVEN OR ODD numbered quests as the higher numbered quests have more artifacts which grant more actions. Besides either quest 9 or 10 would be a good finale if you weren't overpowered. We ran the whole 10 and lost one of the first few but pretty much didn't need to think about any situation. Whoever got to the minions or monster first got the kill. I played a sorcerer, by the end I was pushing 10+ auto wounds. (Bypassing defence if that mattered.) my highest damage output in one attack was 20 and the battle Wizard matched it once. "
29,andrewmitchell,10,Great game play and the monsters are a real challenge
30,Andy LaRock,N/A,Kickstarter Recieved 170823.
31,andy5463,N/A,Sleeved
32,andy61,7,"Decent dungeon crawler, although subject to luck in the order the monsters come out"
33,AndyBalsillie,10,Kickstarted
34,anglotiger,6.8,Donated to JVMF auction
35,AnotherHorrorFan,5.5,"2019-05: Could have been one of my favorite games of all time but it is WAY too easy. Everyone says it is harder in single scenario than campaign, but I have only ever played in scenario mode and it is stupid easy. If they found a way to make me have to actually think in order to play it I might enjoy it more. I hope they get a second season to fix the problems because the potential here is enormous. Very similar to how I felt about 1st edition Rum and Bones."
36,anttang8,9,A simple beer and pretzels game. I love it -- just don't expect it to be something other than what it is!
37,Anubis06,9,"I always love a good dungeon crawler, this one is one of the best in my opinion. Really like how light and dark areas work as well as characters a their choice of class."
38,apisapia,5,"generic fantasy, creates no theme

+ loot scales with level"
39,Apita51,10,One of the best games I've played. Excellent for making the game adapt your playstyle! Can be easy and casual or hardcore; to be played by daring gamers. Worthy and fun!
40,apollak10,N/A,Kickstarted
41,Apparatus,7,Massive? Yes. Thematic? Yes. Fun? Kinda. Would need to play more to really feel it out.
42,Aranubis,8.5,Really like the skill trees.
43,Arboretum,9,"Massive Darkness plays like a ""heavier"" Zombicide for adults. Every time you play, the experience is different. You have to be able to play cooperatively and strategically clever, but winning still takes an extra bit of good luck, so there is an element of randomness to spice things up. Very enjoyable."
44,Arcadion,9,Great game. Campaign is a little bit too easy. So play it quest only. Much fun.
45,arcard,8,Great game but it needs to get the rulebook revisit. Improves with house rules
46,arcticfox23,N/A,Want to Paint
47,argaille,6,Tiepid.
48,arguset,10,This game feels awesome!!! Can't wait to play it!
49,Armand7734,7,"Not the greatest dungeon crawler, has some flaws, but hits the table a lot."
50,armed-medic,8,Best played with 2-4 players.  Starts to slow down above that.  CMON also needs a better boxing/storage solution.  Hate having to simply recycle all these great plastic molded trays that come in the box but they are a space killer.
51,arnora21,N/A,Edición Kickstarter con todos los stretch goals y los addons exclusivos.
