,username,rating,comment
0,57messier,N/A,For trade only as a bundle. Includes all kickstarter extras
1,actmoon,8.5,"The sculpts and theme seems very well done. There are some nifty mechanics that separates it from other 1 v All. Seems to be in the depth/complexity between zombicide and descent/Imperial Assault. Should be able to bring to the table easier.

The game is very fun albeit having some rules abiguilty. Did not have to pull my punches unlike Descent second edition."
2,AhnFire,N/A,Ambassador pledge
3,ajewo,N/A,"1 vs all cooperative dungeon crawler by CMON. The game is a streamlined collection of the best mechanics from many other dungeon crawlers (Imperial Assault, Level 7 [Omega Protocol], Zombicide). The depth comes through the many different special abilities, still it seems a bit lighter than the other dungeon crawlers. 
A big selling point of SMOG are the high quality components, streamlined gameplay, and story-driven campaign.
I really like the way how player elimination is handled and the back-and-forth initiative system which I would love to see in Level 7 [Omega Protocol] too. I like the theme and tactical combat system of Level 7 more (different stances and I am not a fan of defense rolls).

+ Artwork and Iconography
+ Weird theme (steampunk, magic, fantasy, England)
+ Components (plenty of detailed minis, custom dice, standees for the doors)
+ Modular board with cardboard  doors
+ Different scenarios with special goals. Campaign is not mandatory: campaign or scenario mode. 
+ Narrative campaign mode with great story transitions (intermission mini game, preparation for the next scenario) and character progress. Depending if heroes won or lost determines how the next campaign continues. 
+ Background stories for each character
+ Plenty of heroes and enemies units each with special abilities and different stats. Upgrade cards are used to level heroes up during campaign mode (variability)
+ A role card is assigned to each hero granting a further special ability
+ Many synergy effects between heroes' abilities which cause the heroes to stick together (cooperative play)
+ Heroes can find arsenal cards (equipment) granting further special abilities (new weapons or other stuff with boni)
+ Shared resource ""Ether"" (similar to Level 7 [Omega Protocol]: Nemesis player has power cards which can be activated at least once per round by spending ether. Heroes can move or attack. Special abilities cost ether which is paid to the Nemesis player.
+ Random one-time-use chaos cards for the Nemesis player (similar to Nemesis cards in Claustrophobia)
+ Turn order is determined by cards which are secretly played by both sides. Each card is revealed one by one and activates a certain unit (activation is back and forth: hero, nemesis, hero, nemesis ...)
+ Simple dice combat: attack and defense rolls: some symbols give choice (take ether or do action). Kind of group combat: adjacent units boost an attack.
+ Streamlined gameplay and quick playing time
+ No player elimination
# Requires a lot of table space
# Some hidden information: initiative, chaos cards
# Some luck: combat dice rolls, luck of the draw: chaos cards, arsenal cards
# Rules are okay, a lot of spelling errors. Updated rulebook and FAQ is available.
# Some expansions available with even more content (variability)
- Theme is weird
- I do not like defense rolls in a combat system :-/
- Retail edition lacks a lot of exclusive content from Kickstarter
- Like in many other successful Kickstarters, there is so much content to add variability, however, I wish the designers would have focus on adding more depth and deeper experience by creating unique moments instead of more of the same

Similar games:
* Imperial Assault (Star Wars theme, 1vsAll, similar combat skirmishes, campaign-driven, character progress)
* Level 7 [Omega Protocol] (Sci-Fi theme, 1vsAll, Adrenaline system similar to Ether, deeper tactical combat, scenario based, initiative system: hero and nemesis phase instead of back and forth turns between heroes and nemesis)"
4,Alan Stern,8,"This was a lot of fun.  We played a 1 vs. 2 and it was surprisingly tight.  The special powers and abilities made the game, though they also made it pretty fiddly.  I'd like to play this one more."
5,AlfonsoHH,N/A,"190€ Ambassador Pledge
260€ Con los 3 Addons Exclusivos (The Baker Street Set, Gentlemen Of Her Majesty's Service y Kingdom Death: Steampunk Twilight Knight)

Priorizo lote Completo"
6,Apparatus,7,Interesting theme. LOVE the player/npc initiation mechanic.
7,AslanFrodo,N/A,KS
8,Auyard,N/A,"The Embassy
The Dragon
The Wheel
The Mekasylum
Arcanist Extras

Twilight Knight
Baker Street
"
9,bcm2578,N/A,unfinished painting project
