,username,rating,comment
0,0tipep,10,"I had high hopes for this game due to hype, theme and Lang's reputation. It never ends well when my hopes are that high but I still got mind blown by the awesomeness of this game. It's as beautiful as it is fun. It's not heavy in the rules but immensely strategic. Even if you get behind early on and you think you're done, you can very well end up winning the game if you play right (happened in my game) 
I never bothered ranking games on this site but this one is so awesome that I had to. Get it as soon as you can! It's the kind of game that you don't see time passing by and that will get you thinking the following day about what you could've done differently to do better at the game. I can't wait to play it again!"
1,1983mattj,N/A,Kickstarter
2,Aaaapppp,9,"GREAT MINIATURE ,GREAT RULES."
3,aaronag,10,"3 hours flew by, very engaging game!"
4,abandofmilk,7,Mini Figures are amazing! Big fan of the combat mechanics and the ally system.
5,Aberdeen1977,N/A,08-12-2018 (246)
6,abernath,6,I didn't hate it.
7,Abso,5,"Similarly to Blood Rage the game has very little to do with frenetic dice and dudes on a map waging war, which might come as a surprise to some. Instead Rising Sun is a mixture of Shogun and Senji, but does not elevate itself from the two. I'd rather play Senji for the better negotiation and quicker action selection. Negotiation in Rising Sun is too vague and lies (pun!) more on the promises rather than actual goods.
I'd like to see Rising Sun's secret auction war board implemented in better games."
8,Acama,6,"Area control, with the main draw being beautiful minis.  Heavy reliance on table negotiation and alliance making.  Some interesting decisions, the most interesting part of the game is the coin assignment in battles."
9,AcemanBR,8,Excelente jogo de controle de área e seleção de ação. Melhor Lang so far.
10,AceOneZero,10,Great game! Great quality!
11,Ackiatta,N/A,3-5 players
12,Action Andy,N/A,All monsters fully painted
13,actmoon,9.5,"really really good. very exciting, much more than blood rage"
14,Adamantium123,10,"My favorite game, lots of great mechanics"
15,adamdynris,8,kickstarter mars 2018
16,adamhess89,9,Kickstarted!
17,adammurgs,N/A,Kickstarter Pledge Daimyo levels with all exclusives monsters and Daimyo as well as Dynasty Invasion expansion
18,adamscott,6,"Enjoyed it and would play again.  I still think Chaos in the Old World is Eric Lang's best game though.

After a second play, I think it's too long for what it offers.  I'd pick Dominant Species or A Game of Thrones over this, both of which are somewhat similar and play in about the same time.  I don't think the 90-120 min. play time is accurate (at least my two plays were significantly longer).  It's a game I want to love, but ultimately falls short for me.

+ Has some fun moments.
+ Levelling up through buying cards and using them to enhance your strategy.
+ I like the different faction abilities (and personally don't care if they are balanced or not).
+ The honour system for breaking ties is good.

+- Still not sure about the blind bidding during combat.

- Area control doesn't matter since you only really benefit from winning an area once.
- The diplomacy aspect/alliance system doesn't really work and could probably be removed from the game.
- Significant bash the leader and king-making issues (though perhaps not worse than other similar games).
- Best at higher player counts, but then goes too long with lots of down time and chaos in the game.
- You only get to choose the main action about 4-5 times in the game.
- I dislike the Sepukku/Imperial Poets strategy.
- Way overproduced and overpriced.
- Once everyone has a bunch of cards, it's very difficult to figure out what everyone can do...similar issue in TI3/4."
19,adamsinger109,8,"really great game. Looks overwhelming but its actually pretty simple once you get started. 
"
20,AdieK,9.5,"Only after one play, but loved it! Table presence is ace, getting these miniatures to the table makes the long hours of painting worth while"
21,AdmiralBlu,9,"Not so much in common with Blood Rage, very enjoyable, very strategic, very thematic, for me it's a 9/10 game, part of my top ten list and I own more than 100 games."
22,adrientyler,8,"Pas encore testé, mais le matériel est juste magnifique.

__________________________________________________________

Première partie à 5 en environ 4 heures, avec mise en place d'une partie du matériel et explication de règles.

Un fois les règles assimilé, ça devient très tactique, entre les alliances, les trahisons et les paris de combat... très sympa à joué. 

On l'a préféré à Bloodrage (du même auteur et dans le même style).

On attends plus que les extensions en français."
23,adwodon,6,"The production on the KS edition is wonderful but the retail edition strongholds should've been plastic.  Were they I probably would've just kept the retail version and got rid of everything else.

As is the game is decent, the negotiation aspects are not really there but I enjoy this style of secret bidding for combat.

Ultimately for me its too long, too expensive (for the essential plastic strongholds) and the cool monsters do not feel cool enough."
24,AD_Maple_Heights,8,With Apoorva
25,aeaswen,7.5,Some issues with combat that may just be my inexperience. Really enjoyed it as it was a definitely a new experience. Will update with further plays.
26,Aelian,4,"While extremely unbalanced, it's still fun to play. Expansions SOMEHOW fix some of the most obvious issues. Some mechanics are completely broken (I'm looking at you, cards!)."
