,username,rating,comment
0,1Peter567,N/A,eBay.
1,ajewo,8,"Deduction hidden movement game based on a TV series about smuggling cocaine form Columbia to the US. Four various factions try to chasing down Pablo (1 vs many).

[b]What makes it special?[/b]
* Unlike other hidden movement games, Pablo does not move often. Instead Pablo's actions give hints to the other factions about his hiding place. At the end of the round, Pablo spend money to move. The money determine how far he can move.
* Pablo has to be captured twice
* Other players (factions) get constantly information of the location of Pablo (the potential locations always gets smaller and smaller)

[b]Pros:[/b]
+ Theme (mature, cocaine, smuggling, assassination)
+ Artwork (detailed characters, clear, clean, colorful)
+ Components (detailed miniatures, nice table presence)
+ Multiple victory conditions for Pablo. Objectives are assigned randomly each game (collect drugs or money) or become president (by securing Sicarios until the end of the round)
+ Sicarios have different range, glory, and armor ratings plus special abilities from cards
+ Pablo tries to grow cocaine for Sicarios to earn money (building farms) or to keep his Sicarios alives for glory points
+ Pablo tries to manage money for card play, moving Sicarios, and hiding himself
+ Pablo can place blockades to prevent movement (player interaction). The other players can do the same vice versa.
+ Turn order: Pablo is always after another faction's turn (can react)
+ Action / hand management: action cards are numbered from 1 to 4 which determine the power. Actions are limited each round, e.g., you can only try to capture Pablo two times per round. The Investigations Actions are the most powerful to locate Pablo but are also limited (strategical decision-making)
+ Different types of location (e.g., airports, farmland) and regions that help to pin-point the location of Pablo
+ 4 different factions. Each faction controls 2 characters and different abilities that can be used on another player's turn (cooperative)
+ Objective cards and Sicarios create variability (only 6 of 9 Sicarios are in play each game)
+ Hideout tokens are used to keep track where Pablo might be
+ Simple teach and play (Pablo player is more difficult and should be played by an experienced player)
+ Well written rules

[b]Neutrals:[/b]
# Language dependent (text on cards, objectives)
# Best with 2-3 players (too much downtime for the faction players with higher player counts)
# Some rules clarifications: https://boardgamegeek.com/thread/2256287/ultimate-cat-and-mouse

[b]Cons:[/b]
- Game should end at 3 rounds but may continue

[b]Similar games:[/b]
* Mind MGMT: The Psychic Espionage ""Game.""
* Letter from White Chapel
* Fury of Dracula"
2,arpagmenos,N/A,Sleeved 
3,atonaltensor,7.125,Sold at Oct 2019 Congress of Gamers for $15.
4,BastardCafe,N/A,2 914
5,BenRon,7.2,1 
6,Be_Narangi,7,2019
7,boulderman,5,"I prefer other games in the style.   Too long, turns felt long and too co-opy"
8,Brett1231,5.9,"Based on one play.    Felt unbalanced in favor of drug lord especially as game went on.   Get him early or you're in for a long losing slog.   Large variety of hunter team decisions create lots of down time with little effect on ultimate outcome.    

Could have been a very fun game with a few tweaks.   All the ingredients are there - maybe a few too many - but needs balanced and streamlined.    

Or maybe I need more plays to get it."
9,carrickfergus,8,Painted 
10,Carter_Burke,N/A,"On my radar. 

Raved about on Secret Cabal Podcast #170 and #175(?)
Drive Thru Review loved it - best hidden movement game?"
11,Cheelara1,N/A,"This is a one vs many game, not sure If I will like it. "
12,czarnybut8,N/A,dobre recenzje
13,czeczot,7,"Jeden przeciw reszcie, szukamy ukrytego gracza"
14,dbucak,5,We played it as a 5 player which didn't work.  The hunters only got 3 turns apiece.  As a 2 player it might be better.
15,DeadFrog,7,"Solid, difficult, 1 vs. all hidden movement game"
16,DECEBO,10,"I love hidden movement games and this one is great. Difference compared to other games in this genre is that the Patrón player actually does not move during his turns, but hides. Between his turns is he able to move. The hunting player has to derive from the position of the sicarios (Patrón’s helpers) where he might be. Those sicarios can hurt the hunters in different ways. Theme is very well present in this game; some downtime for each player, but for the Patrón player it could be interesting to listen to the consultations."
17,Drakonio,N/A,35
18,DrWorm331,8,"Very fun and thematic. The components and tray is very nice, accepting sleeved cards. slight knock for being a little over complicated. I think this goes away once people are used to the game and have seen all of the cards."
19,DTLibrary,N/A,"Shelf 3
"
20,Ecredius,8,Only played a handful of times but have enjoyed every game. Tense as hunters or Pablo. Rulebook feels a bit incomplete and there is a lot for the Pablo player to remember
