,username,rating,comment
0,Abslom_Daak,N/A,Terran Pledge
1,AbyssalStalker,N/A,12/2019
2,ace42,N/A,Kickstarter backer
3,Al Capwnd You,9,"I get why Tom rated this so high - this game is action-packed and FUN. The miniatures are probably some of the best quality in terms of crispness of detail that CMoN has produced. Surpassing Zombicide: Invader easily. The miniatures have a slightly larger scale, closer to GW's heroic scale, that helps those details stand out a bit and are much less ""soft"" in details than the previous plastics.

Gameplay is straight-forward and frantic, and the maps look great. The game is difficult, even on the easiest setting. To be critical, it still shares some randomness and ""search for items and hope you get a good one"" that Zombicide also has, but tends to clamp down on search spamming by limiting the search areas to 3 searchable spots total per round.

Plays well at 2 and 3 player counts, not sure about solo mode or higher counts.

This has almost replaced Zombicide: Invader as it is quicker to play, feels less like a single wrong move will kill you instantly, and everyone is engaged at once."
4,alexlyf,9,Most exciting real-time game in my collection. This is the bomb!
5,AlphaEtOmega,N/A,"Pro:
- Miniatures
- Co-Op, fighting waves of enemies

Ok:
- Not yet released, will be in 2020"
6,Andy LaRock,N/A,Kickstarter arrived 26/6-20
7,apollak10,N/A,Got everything
8,armigero,N/A,tom top 10
9,ArtForger,N/A,April 2020
10,AtomicFenix,N/A,Sin fundas
11,aymaster,N/A,Missed the first edition but am definitely looking forward to this!
12,bcnevan,N/A,"Kickstarter Edition
Project: ELITE – Terran Box (2020)
Project: ELITE – Deathmaw Valley (2020)
Project: ELITE – Ammo Pack (2020)
Project: ELITE – Alienship Rescue Expansion (2020)"
13,Benj_,N/A,KS 2018
14,Berengere,N/A,"TV 10
"
15,BGFreakDag2PT,N/A,Kickstarter
16,BlueFoxMoon,N/A,Preorder
17,brickuz,9,"I was sceptical about this for so many reasons:
Tons of components, real time, quite repetitive cycle but when I got it I loved it! It's so well crafted and just as good with the kids (9 and 10) as with adults. Highly recommended!"
18,bufferunderflow,8,Estimated fulfilment: May 2020
19,c15ben,N/A,"CMON version ordered on Kickstarter, real time shoot up the advancing horde, between round cleanup not timed"
20,Caldinhas,1,"It seems like CMON are now doing games only for Russian Oligarchs. They are flashy, filled with swag, unnecessarily expensive and without any real content..."
21,carlosleonrendon,N/A,"1-6
60 minutes"
22,CatTastic23,10,"Real time CHAOS! 

Played 5 games with the base game content and the game is a blast! I can't wait to explore it some more! "
23,celebhir,N/A,Tom's top 1 all time
24,cenfinger,8,Kickstarter
25,Cielfall,N/A,Kickstarted + Expansion
26,cntmntn,N/A,For sale.
27,Couch,N/A,Waiting on this Kickstarter to arrive.  Alien Ship and Deathmaw expansions.
28,darth_fener,N/A,CMON KS
29,DaveyB,9,Kickstarter - since June 20
30,diegolamanno,N/A,Dice Tower Top 10
31,DJSongstorm,N/A,KS (Terran Pledge)
32,dnordeen,10,This is amazing.  Wish I had picked up everything in the kickstarter
33,Dolchjokke,9,Great game! If you get the Kickstarter its a 9 If you dont get Kickstarter its a 5 (and overpriced).
34,Dusty27,8.5,"Elite is the best possible incarnation of a yatzee system I have ever seen. I love tension and tough choices. I greatly enjoy this over Zombicide. It’s quick to setup, explain, and play without a ton of component bloat that most Kickstarter games suffer for. I play it with the core box knowing I can cycle characters in and out with other extra’s. Great for children. "
35,echoingvoice,N/A,Need to review
36,endur0,N/A,1-6
37,Estilnia,10,Best thematic real-time board game ever
38,EvilPolBro,7,So far so good. May have some balance issues depending on the number of players and randomness of card draws.
39,exo20811,10,backed CMON kickstarter with expansion!
40,Festivus99,N/A,Kickstarter
41,flynsk,N/A,"Await KS delivery
"
42,frankqb,N/A,KS
43,Fribian,N/A,Watch a video
44,galar,10,Awesome game and minis!
45,GCPDblue,N/A,"Kickstarter edition ""Terran"" pledge

[b]Expansions[/b]
Matriarch Boss and Plaguelings"
