,username,rating,comment
0,Acadus,N/A,kickstarter pledge
1,ajewo,N/A,"Spiritual sucessor of Arcadia Quest. Grid movement, dice combat game where players fight competitively against NPC monsters.

""Amerithrash experience with leveling up elements and monster fighting experiences you can pursue different objectives to win the game. Rather luck-driven. Catch-up mechanics aren't quite present.""

Pro:
+ Artwork (comic)
+ Different characters with special abilities and customizable equipment
+ Different scenarios / campaign with modular board
+ Simple the mechanics: battling, the line of sight is easy to understand 
+ Leveling up system
+ Quick set-up
+ Quick playing time

Neutrals:
# Simple NPCs

Cons:
- Ton of dice rolls"
2,Alae,N/A,https://www.kickstarter.com/projects/cmon/starcadia-quest
3,AmberWoywitka,N/A,"Kickstarter
$285
Pledge level: Space Marauders Pledge +:
Crew Dice Bundle		
Brandalyn & Jakob	
Extra Dice	
Nayomi & Tanaka	
Zenith Invasion	
Wound Token Pack	
Plastic Token Pack	
Scenery Pack	
Showdown"
4,ArtForger,N/A,February 2020
5,azuravian,N/A,Estimated delivery in February/March 2020
6,BananaGoggles,N/A,"60 Min, 2-4 Players
Dungeon Crawler, Miniatures **"
7,bbhalla,8,"Initial Impression: CMON games never fail to impress me with their accessibility and component quality. This game's excellent components; wonderfully detailed minis, thick cardboard tokens and upgrades, and plastic player overlays support a really fun game that's only slightly more complicated than your average beer&pretzels affair, but with a fair amount of zany tactical depth. The game exudes a feeling of hit 80's arcade video games. Players characters are quick to die and respawn just as quickly as the monsters. Chracters run around collecting victory points, completing PvP and PvE missions, and purchasing upgrades. Picking up boosts and recharge packs further tie the theme to the mechanisms. To top it all off, progression carries over between scenarios, which are all linked to a small campaign. This game won't be for everyone but for those of us who find it charming, there's alot to love."
8,bcm2578,N/A,unfinished painting project
9,benburris85,9,Kickstarter 2018
10,biggumpn,N/A,Kickstarted
11,bizdave,N/A,"Dave (2 copies Space Marauders) 
+ Crew Dice Bundle
+ Thornetroopers
+ Zenith Invasion

ETA August 2019
"
12,BoardGameBlaze,N/A,https://youtu.be/y6p-o6ZnGxQ
13,Boneidolmatt,9.5,"Played a couple of Scenarios so far and absolutely love this. It gives me everything I lover about Arcadia Quest and makes it more accessible. Quicker Set-up, shorter campaigns that you can complete quicker and still all the joys of exploding dice make for heroic saves and hilarious failures. 

Love this game and highly recommend!"
14,Bordspellengroep,N/A,Van Arran
15,Brad297192,N/A,Not played
16,chaosbane,N/A,"saq-ks08 - plastic token pack
SAQ007 - yuri & cury
SAQ008 - tanaka & nayomi
SAQ006 - brandalyn & jakob
SAQ009 - patty & sherry
SAQ-KS12 - needles
SAQ-KS06 - companion pack
SAQ-KS02 - SPACE MARAUDERS
SAQ-KS07 - SCENERY PACK
SAQ-KS03 - BUILD A ROBOT EXTRAS"
