,username,rating,comment
0,1 Family Meeple,8.5,"OWN EXPANSION:
TheGrizzled:AtYourOrders!"
1,1000rpm,7,Coop Filler
2,1984cjr,5,"I found The Grizzled quite intense and stressful, which I suppose I should have expected considering the theme.  We didn't have any fun playing the game - it was depressing and very difficult (which is probably the point of it all).  We played it through twice but on the third attempt we were feeling pretty miserable so packed it in and played Takenoko to lighten the mood and cheer us up.  I do absolutely love the artwork.  The beautiful illustrations fit the theme perfectly and the components and cards are all top quality."
3,1hooman,N/A,Used / Excellent condition
4,216stitches,9,Dark and difficult. A co-op I can sink my teeth into. Never won.
5,2KittiesAreNotEnough,10,"So much fun! It has deep meanings about showing your vulnerabilities (hard knocks) cards at a good time, supporting each other through our traumas, beautiful and cool looking art work. War is shitty, and damn does it feel like war. Haven't played with the expansion yet but the game alone is amazing. Worth the money. I think it might be good to play with someone you know who has been through an actual war and let them know that you support them cuz just about everyone coming back from an actual has traumas just like in this game. Love it."
6,2PintsLager,8,Wonderful artwork!
7,60Hz,8,"Thoroughly enjoyed this unique (to me, at least) game."
8,7thDRXN,N/A,Co-op
9,AAAlone,7,"Simple, yet elegant depiction of brothers in arms supporting one another.  Quite challenging."
10,aaj94,8,"The Grizzled is a co-op game that's attempting to replicate the discouragement and camaraderie of trench life during WWI. Unfortunately, it replicates it a little too well -- this is just an incredibly difficult and depressing game. 

We played several rounds and didn't win any (after I dropped out they played three more) -- my father-in-law finally beat the game, but I think I'd find such a challenging game interesting only until I beat it.

Edit: holy cow, is this group-dependent. Played in a group dynamic that was much better and this is night and day from my previous experience! Bumping from a 4 to an 8!"
11,Aarong3eason,8,"Hard game, played it solo with the 2 player rules & this game is hard even while ""cheating"""
12,AaronM,5,"I was drawn in by the hype of this, but after playing it, the narrative is not there but something you have to make up. The difficulty of the game doesn't seem to be in the decisions you make, but in the brutal randomness of the draw.

I don't think the game is challenging, I think it's challenge is a mask for the brutal randomness of the deck."
13,aaronyoungren,N/A,Incredible art! 30 minutes Co-operative.
14,ABCafe,N/A,C4
15,AbsZero,N/A,"co-op
$10"
16,Acenchious,7,Patrik äger
17,Achimobilkgames,N/A,2 to 5 players
18,Across the Rhine,8,Essen 2015 purchase - nice filler game full of tension with beautifully evocative artwork. A push your luck game as you struggle to get your squad through the Great War. A German squad came as an Essen bonus.
19,AdamCarney,9.5,"The Grizzled affects players at a very deep level. The fact  that the artist, Tignous, was murdered by terrorists and has helped to craft a game that exposes the horrors of war is so significant. And the fact that these game creators put their own great-grandfathers and relatives who fought in WWI as playable characters is nothing less than incredible. "
20,adamdynris,7.5,JAB 2016
21,AdamJHoy,5,Russian roulette would be a faster and more enjoyable experience.
22,addekk1,7,15
23,adebisi,5,"The most notable achievement of The Grizzled is the total absence of one dominant player plaguing so many other co-operative boardgames. The rules state that you cannot discuss the content of your hand. It sure does make the game a lot harder for players to win, but if you do not mind a challenge, I reckon it only as a positive.

However, sometimes it felt that the game was even too hard. Threats accumulated so fast on the no man's land that we often witnessed a player withdrawing without even playing a single card. I not sure how fun is that if you do not get to contribute to the game in any way. Some people might find the role of a bystander totally satisfying but I felt sorry for the team. Some of the cards robbed you of free will as well, thus being very detrimental to the gaming experience. This might be thematic and needed for the balance, but a game should involve meaningful decisions instead of being a simulation.

What I have read of the World War One helped me in understanding the game. I was even able to visualise myself crouching in a trench in the most inhuman of conditions. It was also quite surprising to see how quick our group transformed from individual players to a team supporting each other without any trace of selfishness. 

The Grizzled is an experience. Personally I did not find the game and the decisions I had to make the most interesting, but the process itself was thought provoking."
24,Adio75,N/A,Mayday Chimera Premium
25,AdMan2015,7,Sara & Lucas
26,Admiral Fisher,7,"The theme and tone of the misery of the WW1 trenches is perfectly echoed by the bleakness of this game.  It's very hard to win and you are constantly battling to survive.  It's a bit grim and not exactly a game you'd play at Christmas.  It gains for mood and originality, loses for being a bit random."
27,adrianfrancies,7,2-5 players
28,Aerothorn,N/A,Unplayed
29,afafard,8,"Quaterbacking-proof co-op with a WWI flavor that plays within 30 minutes?  I'm in!

Edit: increased rating from 7 to 8.  The more we play, the better this game gets."
30,AfarOca,7,"PARTIDAS GANADAS/PERDIDAS
Navir 0/2
Oca 0/2
Valle 0/1
RiDeRwInD 0/1"
31,afty,8,"One of the best themed games I've ever seen. As an experience it is incredible how much they squeezed into this tiny box. It's depiction of war as a nightmare to be survived, as opposed to a glorious adventure to be prized is really unique. And it's not just a framing device- it's baked into every single turn and decision you make. I can't praise the design enough. It's nothing short of art.

If it has any negatives it's that it's incredibly hard. I've played this half a dozen times now and haven't won once. Still this is one to own even if it doesn't hit the table that much."
32,Againsto,7.2,A deep and wonderful experience that left me very satisfied and certain that I did not need to play it ever again. 
33,agoodall,N/A,"Birthday gift, 2017."
34,agotha2,N/A,Just played
35,AHemi520,6,I don't think I have won this game yet? Not a bad game and gameplay is interesting with not being able to communicate with other players even though you are playing as a team. Pretty thematic! Just seems like most games are pretty luck based and almost impossible to win!
36,Aion,5,"Brutal, and leaves a bitter aftertaste."
37,airheart,N/A,"Mechanically, nothing to write home about but the setting, theme and personal touches (character names for example) is appealing. 

Played with 2 different groups and felt that the self-identified ""gamers"" kept searching for the meat and the ""non-gamers"" concentrated on the feeling. The latter group enjoyed the game more than the former."
38,airjudden,5,"I learned the game and played it through solitaire.  Note: this may be cooperative, but it is NOT solitaire.  It's a pretty decent little game.  I don't think the theme is that strong, but the play is fun.  I will update after I get the multi-player experience, as I suppose that will make this go up."
39,Airstone,N/A,+ expansion
40,airzonk1,N/A,Comes with At Your Orders in the main game box
41,ajari,7,Tough! Haven't won with 4-5 players!
42,Ajax,6,"A clever and brutal co-op.  Not a ton of depth here, and the no-communication clause feels a little forced, but there is tension throughout.  Kudos for the wonderful theming all throughout."
43,ajewo,7.5,"Nice thematic cooperative card game. The theme is a bit depressing. Rules could be better writter, I am missing an overview of the key words and key events.

Similar games:
* The Lost Expedition (card driven, very good solo game)"
44,Akado,5,"Not very uplifting.  Kinda neat, but didn't really interest me enough to own it.

There don't seem to be a lot of decisions that need to be made, so it's less appealing to me than other co-operative games, even at a lighter weight.

Oddly enough, this game is a lot more fun when you're losing, and it's very boring when you're winning."
45,akaisamurai001,8,"A unique game. In most hard Co-Op games that are hard, they constantly keep you stressed with a sense of hopelessness that makes you want to rise to the challenge. Grizzled is the only one for me that is constantly giving me a sense of hope. The theme of WW1 and the fact I know quite a bit about the history may steer the theme more strongly for me. But for example, if you all withdraw in a round with a lot of cards in hand, you all still succeed in the mission but maybe not well and thus makes the next missions harder. That being said, you still succeeded at something and if all are trying and know the rules, the game mostly ends with a possibility of victory (I lost in a game with 5 cards left to victory.). The gameplay is also easy to teach, play and finishes in a reasonable time.

Downside is some people just can't seem to not give away their hand and would flout the rules to get a win. 

Overall, heavily recommended, a thematic game with strategy and a lot of hope like what drove most WW1 soldiers through the war. "
46,akokotis,9,I love this cooperative game! We just rarely ever win haha
47,Albatrocity,6,It's a little simpler than I had hoped. 
48,alcofa,7,I really like This One. Everything works well here and the theme is so present!
49,Aleahcim,8,"Traded Corntey for base game 
with expansion"
50,alejo4,10,2018
51,alekskerr,N/A,Excellent quick filler co-op. Not too difficult to win but challenging enough to instil that sense of dread. Very simple and very satisfying.
52,alepsycho,7.5,"Well, this one is a simple, fast and fun cooperative card game, I enjoyed this game so much that we played this several times, lost all these times, so there is a good challenge here."
53,alexlyf,8,"Best No. Player: 4/5, 3"
54,alexs34,6,"This game is unusual in the fact that it makes me depressed after finishing it. This game, after it beats you, makes you feel like your soul was kicked in the crotch. "
55,alexvodessa,N/A,EN
56,alex_lobo,7,Los inseparables
57,alfman,7.5,"Great theme for this coop game. Difficult decisions with your cards because their tight difficulty will force us to play on the edge of defeat, therefore, the king of the hill effect is very minimized"
58,aliakel,6,Je seus Charlie
59,AliPogo,N/A,WWI
60,Alkath,N/A,//zuza + manix
61,allbroke,3,"Good concept but I'm just not made for co-ops, it seems.

Worst rule book I've encountered yet. Despite being a fairly light game the [lack of] rules make it seem much heavier than it should.

When beating co-ops I don't get a thrill of victory, rather an 'ah, ok we won.' And losses feel empty when no one gets to walk away with a victory - a feeling of wasted time, I suppose. A personal preference of genre rather than a slam to the game which seems well-balanced and made."
62,alpal,8,"""push you luck, war artwork, a tad too many rules""

COFFEE!!!"
63,alsater,7,"Type
Thematic 

Category
World War I

Mechanisms
Cooperative Play
Hand Management
Press Your Luck
"
64,Altaica27,N/A,"● Sleeved: SWN-508 (60x92)
● Second-hand"
65,althor74,8,"Have played it 2 player (with my wife) and 4 player (with 3 of my kids) so far and enjoyed it both ways. My first play with my wife we beat it easily (hey I thought this was supposed to be hard?). Then on our next play we lost, much tighter. Our play with my kids we also lost, but they were close. Have found it very fun and challenging so far."
66,alxndrch,8,Хабаровск
67,amacleod,8,"Something I don't think I've seen before: a push-your-luck cooperative! Nevertheless, it's a very good game due to the great difficulty in actually winning. Your decisions are based on trying to interpret why your fellow players have played the cards that they've chosen. This difficulty comes (in no small part) from the very restrictive communication rules, which (unfortunately) are very hard to enforce. Hanabi (a considerably better game) has the same ""enforceability"" problem, but it's not as much of an issue as in this game. Commissioned (better still) solves the problem completely, but only half the time, as player silence depends on a die roll in that game. Regardless, The Grizzled is a lot of fun and generates a lot of laughs, which brings me to a problem I have with the game...

...it's a lot of laughs. The Grizzled is much ballyhooed as a game which immerses you ""in the horrors of World War I"", the description I most frequently see. But the mechanics are so abstract that it could easily be re-themed as...anything! The art is good quality cartoonish art; but it left me with the feeling that the game was Asterix and Obelix meet Sgt. Rock. It's still a great game but it treats the theme far too lightly IF a publisher is going to promote it as an attempt to show gamers the horrors of war. I certainly felt not an inch closer to my great-uncle and grandfather who fought and were wounded on the Western Front. Perhaps if you could (like in Dr. Knizia's, Lord of the Rings) deliberately sacrifice your own life for your comrades, and if the art didn't portray a French group of Sgt. Schultz's, then the thematic idea might work better. 

If you want a better ""feel"" for the war, I would encourage you to play just about any old-school strategic-level wargame about the Great War. I clearly remember how grim it was after each turn in Guns of August to look at the dozens of counters you lost that turn, and thinking that each counter represented tens of thousands of men! The only thing that comes remotely close to that in The Grizzled is losing: you see the war-memorial card with the names of the player-characters engraved on it, and know that those characters are based on real world poilus."
68,AmadanNaBriona,7,"Interesting coop experience. Very cooperative without making it easy for an ""alpha player"" to dominate, evocative of the theme without triviliazing it or making it too morbid."
69,amg100,8,The theming works really well in this game and the art is perfect for the game.
70,AnaCross,N/A,5
71,andlord,9,"The Grizzled took me by surprise. Such a depressing theme and gameplay adds a lot to it. Try it with at least 3 players. So great! Also it does not require much space, on the table and the storage."
72,Andr0ss,9.5,"I can't stop thinking about this game. The theme of friendship and love in the darkest of times, the subtle yet chilling theme of the horrors of war, the disturbing real history of the development possess say nothing of the War itself. The game is unlike any other and I'm fascinated by it. In any other game with the same theme ""surviving"" the War would mean something along the line of hit points or casualties, this makes it personal. In a lesser game ""moral"" would be a useless token that goes up and down on a track, in this its the point and meaning of the game. 

At Essen this year I got my copy signed by  Juan Rodriguez, one of the designers. He signed in my box lid ""May you and your friends find peace and happiness in this lifetime"" A game with a strong message like this is otherwise nonexistent. "
73,Andromedos,N/A,CHI
74,Andus,7,A neat little game but devilishly difficult.
75,Andy Mesa,6,"A bit shallow mechanically and strategically, but I do love the theme and appreciate games that commemorate history."
76,Andy Parsons,4,"The best cooperative games ratchet up the pressure from the very start.  The Grizzled certainly does that.  The best cooperative games offer real choices and tough decisions about which to choose.  The Grizzled offered me a sense of getting hosed by unlucky card draws, with no way of averting that through clever play.  Indeed, The Grizzled actively limits my choices.  I want to support the comrade to my right but I can't because my supply tokens point the wrong way.  That's plain annoying.  

The artwork is charming and production quality is good."
77,andy61,7.25,"Simple to play, difficult to beat card game that is full of theme"
78,AndyJump,7,2-5p
79,angelgabriel,8,"Thematic co-op, good fun"
80,anglotiger,7.5,"Tough, tough co-op.  We came close in each of their first two games but fell short.

Good fun..."
81,Angurvaki,7,p
82,ankler,N/A,#GeekSort-Exclude
83,anph,9,"Extremely simple, yet challenging coop filler. Not for the light-hearted players."
84,anubis_cuk,6,Straightforward with not a great amount of decisions to be made. The theme is atmospheric though.
85,apart,N/A,+ At Your Orders! (2016)
86,apatel924,N/A,"Simple game, liked but do not need to buy"
87,aphios,N/A,G
88,aPilgrim,N/A,[5]3-5
89,apkendrick,9,"Beautiful and very unique. Incredibly thematic when played with the right players. This is something really special, but for me it really depends on who I'm playing with. You need someone that really gets into the theme. 

The card and box art really elevate this game. Keeper, despite not seeing too much more play. Really had some great times with this."
90,apostateant,6,"The expansion is critical, really makes the game shine."
91,apratch,7.5,"This is a really good cooperative game. The directions aren’t great, but it’s an enjoyable game. I have only played it once though so it needs more play throughs. "
92,Arara,8,just brilliant.
93,Archive77,7,[microbadge=37989]
94,Arcticfox00,N/A,Mayday Games USA Chimera 57.5mm x 89mm
95,Aredan1528,6.9,This game is ok it often feels hopeless but it's creative ... I know some people like the art I think the art is kinda blah. 
96,argaille,8,Hardest like hell. Very well designed and themed. A must have.
97,AriasMX,N/A,"Sleeved
"
98,arkads,N/A,Polish
99,Arkeas,4,A neat little cooperative filler card game that requires a little bit of thought and offers a good challenge. Hoping the expansion makes the 2-player rules a little better.
100,armando vicioso,N/A,todas las ampliaciones
101,Artorig,8,This is a really unique and special game. This is art.
102,Aruwen,7.4,only with expansion
103,asfhgwt,1,"Sorry, but to me, a failure on every level."
104,ashkai,4,"Includes: 

- At Your Orders

"
105,Asmoridin,6,"Gotta admit, I don't remember this one all that well, but I remember thinking it was just okay.  Will revise my rating and update this box if I manage to play it again."
106,asommerh,N/A,Cooperativo. Muy recomendado.
107,asta,8,A brilliant war commentary. You really start worrying about the people next to you in the trench and if they can make it through the war.
108,astalis,7.8,"Very good with 4 players. The players should really not communicate at all while playing, will give the game more of a cutthroat sense, and the win will be more satisfying. "
109,AsTheDuke,7,"A challenging cooperative game that really captures the correct tension of being at war, even if simply playing cards that resemble threats is pretty abstract. 

A lot of uncontrollable luck of the draw is definitely needed to win. Personally, I feel like cooperative games that put a restriction on communication kind of kills the spirit of playing games with your friends."
110,astorz,7,"Jeu coop assez dur ou il ne faut pas mettre plus de 3 cartes avec le même symbole sur le terrain mais il n'est pas autorisé de communiquer sur les cartes que l'on possede avec ses partenaires, avec en plus un systeme de pénalité/gage assez bien pensé. Un jeu sympatique qui s'apprend vite."
