,username,rating,comment
0,1000rpm,7,"Rating based on 1 play, could rise with more.
Seemed like a lot to get your head around, with some weird reaction rules, but a very nice layer of theme."
1,2gunmojo,7,solid balanced dungeon crawler with a great thembe
2,40 Watt,7,"I'd love to play this game more. However, it is tough to find enough people. "
3,abkcppm,7,"Чисто нова, в целофана.
Продавам/заменям за 120 лева.

Цена - https://bigbag.bg/others-7-sins"
4,Abslom_Daak,N/A,$30 LA Mood Clearance
5,Action Andy,7,painting in progress
6,adamdynris,8,Kickstarter aout 2016
7,Adaslabai,3,Game is terrible. Sin's player stacks all monsters in one place and kills heroes one by one.
8,ade2,9,"Played about 6 times, as both sides. I like it a lot! Playing as the sin could have a bit more depth. Too many small and expensive expansion packs."
9,adikom5777,N/A,Geekmod
10,adrientyler,7,"Pas encore testé.

--------------------------------------------

Première partie en tant que péché : sympa.
Le matériel est de bonne qualité, les règles simples, on a fait le scénario conseillé pour la première partie en 2h30 avec explication des règles aux joueurs.

A voir sur les 2 autres types de scénarios."
11,aeonphreak,N/A,Faith pledge
12,Agatodaimon,N/A,"American
2-5 Giocatori (5) 90 minuti"
13,ahken07,N/A,"buy from WF Choo
"
