,username,rating,comment
0,Aimless,10,Why boardgamegeek allows games to be rated before they are released is beyond me. Here is a 10 to offset the 1's.
1,ajewo,N/A,"Cooperative adventure game with bag building by Eric Lang (Blood Rage, Rising Sun).

Pros:
+ Components (detailed miniatures)
+ ""Legend system"": Cards may change the state of the world. They are put into sleeves that are fixated on the board. When you start your next game, the cards stay on the board.
+ 6 unique characters classes with special abilities. Plenty of equipment to loot and equip. Each class has different paths to upgrade. Characters may retire, become legends and provide boni in future games
+ Players explore the world and encounter different events that give them multiple choices
+ Narrative scenarios
+ Player can move together or split up

Neutrals:
# Language dependent
# Skill check is done by pulling rune tokens from your bag that has to match the symbols of the challenge
# Fighting enemies is done similar with rune tokens from the bag. Runes are drawn one at a time and assign to weapons or special abilities, or armor. If you draw 3 demonic runes, you lose one round of combat. (push your luck)
# Big game box

Similar games:
* Runebound 3rd edition (adventure game, chits driven combat and skill checks, push your luck, cooperative with expansion, choices, scenarios)"
2,Alarka,N/A,"Players: 1-4 Time 60 Min
Category:
Fantasy
Miniatures

Mechanisms:
Cooperative Game"
3,alarm,2,"bad feeling about this, CMON doesn't care for its consumers."
4,alex_zetti,N/A,Kickstarted (Gameplay All-in)
5,AndersC,10,To offset the 1-ratings from people who have not played the game.
6,asgelb,N/A,"Only one kickstarter exclusive mini at this time, so worth waiting for and getting cheaper online after its release/reviewed.

Looks great!"
7,Ashavan,N/A,Intro: Kickstarter
8,Aspudde,N/A,KS
9,bearn,1,The game has no set rulebook yet. How the hell do you get a game funded without a rulebook? People are insane.
10,Benj_,10,"""Marking Kickstarter exclusive content as unethical is unethical: it pushes you away from great games, by taking advantage of your fear to pay for it. This behaviour makes me lose every interest for such people, and makes me dislike them. That's why I rate them 10 and explain the reasons in the comments. If it happens the same to you, rate 10 such games (including this one) and paste this comment."""
11,BGFreakDag2PT,N/A,Kickstarter
12,bharath,N/A,"Legendary Pledge KS Pledge

https://www.kickstarter.com/projects/cmon/trudvang-legends/description"
13,bigwig30,N/A,Kickstarter
14,BlackForestHam,N/A,"Kickstarter - Legendary Early Bird Pledge 
https://www.kickstarter.com/projects/cmon/trudvang-legends/description"
15,blackshirt,N/A,KS 7/19 ETA 12/20
16,Blinko,N/A,Kickstarter
17,Blodhemn,N/A,KS all-in (with Plastic Runes set)
18,BlueFoxMoon,N/A,Pre-release
19,buckbagr,10,Kickstarter 7-19  Rated 10 to offset people with 1 rating.
20,CentrurusVII,10,"Yep 10...according the logic of those who rated this game 1 year and a half before launch, I think it deserve a 10 :P"
21,charleyzhu,10,"Balance! After Receive and Play the game, I would change the rate."
22,chaudfroid,N/A,KS
23,Cheelara1,N/A,its Eric Lang Of course I an interested-coming to kickstarter soon
24,chestond,N/A,1-4
25,cyrunicorn,10,"Rated 10 to offset those who are rating 1 because they dislike a game they have never played.
(and of course because this game appeals me!)"
26,czeczot,N/A,"Słaba opinie ""pełną parą"" prosta gra"
27,Darla,N/A,Backed on Kickstarter.  Estimated delivery Dec 2020.
28,davidstevens,10,Only rating 10 to offset those who are rating 1 because they dislike a game they have never played.
29,Deeevorce,N/A,All in. Hope it's good
30,Devoir,N/A,KS Edition
31,DJSongstorm,N/A,KS (Legendary Early Bird Pledge)
32,Dragonir,N/A,Kickstarted
33,drjfmiller,N/A,Thinking of backing when it launches
34,dukelander,N/A,"Kickstarter project, ETA Dec 2020, probably Austria."
35,Eiskalt,1,"Kickstarter exclusive content is unethical: it pushes you to buy the game, by taking advantage of your fear to miss it. This behaviour makes me lose every interest for such games, and makes me dislike them. That's why I rate them 1 and explain the reasons in the comments. If it happens the same to you, rate 1 such games (including this one) and paste this comment."
36,ELink2k,N/A,K
37,emodiu5,N/A,PM Completed 09.05.2019
38,endur0,N/A,1-4
39,erzengel,N/A,"KS: estimated delivery Dezember 2020
Legendary Pledge + all Gameplay Bundle (100+145+shipping)"
40,Everend,N/A,Kickstarter @ $245
41,Feeble,N/A,ETA: Dec 2020
42,fortheloveofdice,N/A,Dec 2020
43,Fribian,N/A,"Something to take a look at: 1 -4 players, but I'm not that fond of minis"
44,FSTiletto,N/A,ETA Dez 2020
45,gbohme,N/A,MISSING PLAY
46,GCPDblue,N/A,Kickstarter edition
47,Geeken,N/A,?.?+1KS 2024. Campaign Push Your Luck Crawl
48,Giumangi,N/A,Kickstarter Edition
49,Glic2003,N/A,Trudvang?  More like TURDvang!
50,gonz008,10,"To negate the negative reviews from those who haven’t played the game yet. Will adjust on receipt. Copied from Benj_ below:

""Marking Kickstarter exclusive content as unethical is unethical: it pushes you away from great games, by taking advantage of your fear to pay for it. This behaviour makes me lose every interest for such people, and makes me dislike them. That's why I rate them 10 and explain the reasons in the comments. If it happens the same to you, rate 10 such games (including this one) and paste this comment."""
51,Gregaria,N/A,"Kickstarter med Ann, Base early-bird plus ""Adventurer's Set"""
52,gszeberenyi,N/A,KS
53,H3r0uX,N/A,4 joueurs
54,harkoning,1,backing cmon is unethical. They are the main reason our oceans are full of plastic.
55,HausOfQwert,N/A,Backed on Kickstarter
56,hoodriverduck,N/A,Kickstarter (Expected: 12/2020)
57,imaginaryforce,N/A,Kickstarter Legendary Pledge + Adventurers Set
58,Incredibul,10,"I don't even plan to buy this, but giving this to balance out those ""1"" votes about gross plastic. Even if people don't like games from these Designers, there is no arguing that Rising Sun and Arcadia Quest (which are from the same designers) are top games that are highly ranked."
59,Invicta Bricks,N/A,Dec 2020 predicted ship date.
60,jasonxerri,N/A,1-4 Players
61,JavaJoe96,N/A,"http://kck.st/30XW3zX
"
62,jedichrism,N/A,Kickstarter
63,jesterjim,N/A,Kickstarter
64,Jond66,N/A,KS
65,keoladacalio,N/A,Kickstarter exclusives
66,kissgg,N/A,YOU ARE TURDVANG!!!
67,koningwoning,N/A,Have committed to Kickstarter
68,kosic,N/A,12. XII 2020 - 2021
69,koutynhu,N/A,"Jan 2021

*Own: KS Edition w/ Stretch Goals Box + Muspelheim + Westmark "
70,krhayden,N/A,Backed on Kickstarter (Legendary Pledge)
