,username,rating,comment
0,051276,N/A,Retail Edition
1,0otTheMonk,5,"Probably wouldn't have bought it if I had played it first. I sometimes get the urge to play it, but never really actually do it.

The minis are cool looking, but the gameplay is repetitive. The strategy is not very deep."
2,0time,9,Super fun even to play solo.  Miniatures are pretty sweet.  Easy to learn and teach to new players.  
3,1 Family Meeple,6,"MIKE
OWN EXPANSION(s):

Zombicide Season 2: Prison Outbreak
Zombicide: Toxic City Mall (2013)
Zombicide Box of Zombies Set #5: Zombie Dogz"
4,1000rpm,8,"Rating based on one play.
Seemed like a nice easy to learn and fun co-op puzzle."
5,1974vertigo2009,N/A,REGLAS PARA SOLITARIO
6,1point21gigawatts,N/A,BGG CON 2015 VFM
7,2ndPlace,N/A,"
"
8,2ombie,6,Willing to sell or trade
9,3Minotaur3,9,"A coop game where all players must cooperate to successfully win the game. Of course, evading and shooting zombies are a great part of the game, but achieving the objectives is paramount. Game is not too long, rules are not too complex and the danger of being overrun by zombies is always a factor...

-1 For 2 Annoying rules: The 'Firing rule' and the 'No more zombies, every zombies of that type move again (reason for more than half of my Survivors death). Nothing a few houserules can't change, still...
-1 For Road/Building Tiles that curves, making them more difficult to align and keep them together than it should be... 
+1 For the general high quality of every pieces of the game (Colored minis, cards, tokens, etc...) "
10,40 Watt,5,It's okay... I feel like ranged weapons always targeting the player is a really stupid rule. It annoys me every time I have played.
11,455_PWR,10,kickstarter backer
12,4th stringer,7,"Enjoyed it with the expansions and more crazy stuff.  I only own the original, and it hasn't had that same feel."
13,5pointer,9,"Strangely enough, this scratches a kind of RPG itch for me. It's all about the story you tell as you play."
14,ABCafe,N/A,E4
15,Abraxox,9,Painted
16,ABrissey,6.5,"Extremely tense zombie survival game. Amazing fun, tons of replay value, wonderful high quality miniatures and components. Zombies are ""automated"", no one has to be the bad guys, love this."
17,AcemanBR,4,"Tema legal e componentes fantásticos, mas a mecânica do jogo tem muitos defeitos. Empolga mais quem é fã de zumbis."
18,Acenchious,7.5,Daniel äger
