,username,rating,comment
0,AdleRath,10,"Love this game!!! Finally a tabletop mini-war game that hits every sweet spot - theme, deck and cards, balance, price, theme and theme."
1,adwodon,8,"Surprisingly fun, simple rank & file tabletop experience.

I may end up grabbing a copy one day if I ever feel I need to paint more stuff..."
2,Ahzrab,8,"Mechanics seem promising, especially the combination of action cards and miniatures"
3,Alae,N/A,https://www.kickstarter.com/projects/cmon/a-song-of-ice-and-fire-tabletop-miniatures-game
4,amitche1,8,"Scratches a lot of the same itches as armada but with much better support than FFG gave armada.  Has theme, spatial mechanics, deck/list building, and strong tactical play.  The variants are all interesting so far.  Seems to handle multi-player well.  It's expensive if you want everything, but just proxy the cards."
5,antonioasik,10,"Great tactical miniature game. Big fun of AGoT.
"
6,apubigred13,N/A,Make me an offer.
7,Askes_far,8,"A very good miniatures game system. 

Affordable and fast playing are huge plusses for me. 

Negatives that hold the game back for is the terrible availability of products and uneven release schedule as well as constant rules tweaks and revisions."
8,AslanFrodo,N/A,KS
9,aussiejed,10,"Rules are easy to understand, however the tactics cards and Non-Combat Unit board really add extra depth. A very fun game."
10,Backerfield,10,"Smart, beautiful and easy to learn. What else?"
11,Banishedman,10,Ours is the Fury!
12,Bannockburn22,10,"Finally, a game to fill the void of Warhammer. And it's Game of Thrones (or A Song of Ice and Fire to give it the correct title).  Simple mechanics, massive in depth tactics through use of cards and the awesome NCU board... Check this game out!!!"
13,barbalex,7,x2
14,Baron_von_Hansen,8,"Only the ""House Stark"" Part."
15,Baumewok,N/A,not painted
16,Blackjack006,9,Great game. Rules are easy to understand. Tactics deck and Non-Combat Unit bring a new breath to battle game. Awaiting some new units !
17,blagojevity,8,"One of my top 3 war game like go to. Like the system. Great minies and production. Space monster though, especially if you want more factions and/or units(as expected).
Rating dropped:
Due to ongoing changes in rules and cards without offering replacement cards. Not into printing out components also APP not up to date."
18,Boarder83,10,I just love this game. Its the best war game I have ever played.
19,boardmathias,3,"Boring attempt on a miniature game. Actually bad, but I guess the license will sell a few."
20,Bombance,10,"One of the best Wargame I have ever played, if not the best. The Political Board is genius. A lot of very interesting decisions. The only gripe is that the game can be swingy at times because it is dice based, but eventually the game rewards the better player.
"
21,Boodog,8,"Great game. Interesting interactions across  the political tract, tactics cards, and unit capabilities (and game mode!)

Miniatures kook amazing, and they have what seems like the right thematic feel in the game."
22,booshmeister169,N/A,Also have The High Seneschal Promo
